"Entity[33869] Report(A000000)", , , , ,"Entity[33869] Report(A000000[0000])","Entity[33869] Report(A000000[0100])","Entity[33869] Report(A000000[0200])","Entity[33869] Report(A000000[0300])","Entity[33869] Report(A000000[0400])","Entity[33869] Report(A000000[0500])","Entity[33869] Report(A000000[0600])", ,"Entity[33869] Report(A000000[0800])","Entity[33869] Report(A000000[0900])","Entity[33869] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(00100)","0100CAP REL COSTS-BLDG & FIXT", , , , ,"267374","267374", ,"267374", ,"267374"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(00200)","0200CAP REL COSTS-MVBLE EQUIP", , , , ,"28812","28812", ,"28812", ,"28812"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"52649","52649", ,"52649", ,"52649"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(00600)","0600ADMINISTRATIVE & GENERAL","2242452","374185","453432","16919","1292547","4379535", ,"4379535","1483","4381018"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"77300", ,"77300", ,"77300", ,"77300"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(01600)","1600NURSING CARE","1425506","237869", ,"2569", ,"1665944", ,"1665944", ,"1665944"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(01700)","1700PHYSICAL THERAPY","671","112", ,"74", ,"857", ,"857", ,"857"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"379", ,"379", ,"379", ,"379"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"1265", ,"1265", ,"1265", ,"1265"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","267533","44642", , , ,"312175", ,"312175", ,"312175"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","572388","95512", ,"727", ,"668627", ,"668627", ,"668627"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(03000)","3000DRUGS BIOLOGICAL AND INFUSION", , , , ,"266356","266356", ,"266356", ,"266356"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"409913","409913", ,"409913", ,"409913"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENT", , , , ,"328363","328363", ,"328363", ,"328363"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33869,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","31667","5288", , , ,"36955", ,"36955", ,"36955"
"Entity[33869] Report(A100000)", , , , , ,"Entity[33869] Report(A100000[0100])","Entity[33869] Report(A100000[0200])","Entity[33869] Report(A100000[0300])","Entity[33869] Report(A100000[0400])","Entity[33869] Report(A100000[0500])","Entity[33869] Report(A100000[0600])","Entity[33869] Report(A100000[0700])","Entity[33869] Report(A100000[0800])","Entity[33869] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33869,"A100000","Line(00600)", ,"134488","85969", ,"887827", , , ,"1134168","2242452"
"HOSPC","hospc_2013_DATA",33869,"A100000","Line(01600)", , , , , ,"1425506", , , ,"1425506"
"HOSPC","hospc_2013_DATA",33869,"A100000","Line(01700)", , , , , , ,"671", , ,"671"
"HOSPC","hospc_2013_DATA",33869,"A100000","Line(02000)", , , ,"267533", , , , , ,"267533"
"HOSPC","hospc_2013_DATA",33869,"A100000","Line(02400)", , , , , , , ,"572388", ,"572388"
"HOSPC","hospc_2013_DATA",33869,"A100000","Line(05300)", , , , , , , , ,"31667","31667"
"Entity[33869] Report(A200000)", , , , , ,"Entity[33869] Report(A200000[0100])","Entity[33869] Report(A200000[0200])","Entity[33869] Report(A200000[0300])","Entity[33869] Report(A200000[0400])","Entity[33869] Report(A200000[0500])","Entity[33869] Report(A200000[0600])","Entity[33869] Report(A200000[0700])","Entity[33869] Report(A200000[0800])","Entity[33869] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33869,"A200000","Line(00600)", ,"22441","14345", ,"148148", , , ,"189251","374185"
"HOSPC","hospc_2013_DATA",33869,"A200000","Line(01600)", , , , , ,"237869", , , ,"237869"
"HOSPC","hospc_2013_DATA",33869,"A200000","Line(01700)", , , , , , ,"112", , ,"112"
"HOSPC","hospc_2013_DATA",33869,"A200000","Line(02000)", , , ,"44642", , , , , ,"44642"
"HOSPC","hospc_2013_DATA",33869,"A200000","Line(02400)", , , , , , , ,"95512", ,"95512"
"HOSPC","hospc_2013_DATA",33869,"A200000","Line(05300)", , , , , , , , ,"5288","5288"
"Entity[33869] Report(A300000)", , , , , , , , , ,"Entity[33869] Report(A300000[0500])","Entity[33869] Report(A300000[0600])","Entity[33869] Report(A300000[0700])","Entity[33869] Report(A300000[0800])","Entity[33869] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33869,"A300000","Line(00600)", , , , , , , , ,"16919","16919"
"HOSPC","hospc_2013_DATA",33869,"A300000","Line(01500)", , , , , , , , ,"77300","77300"
"HOSPC","hospc_2013_DATA",33869,"A300000","Line(01600)", , , , , ,"2569", , , ,"2569"
"HOSPC","hospc_2013_DATA",33869,"A300000","Line(01700)", , , , , , ,"74", , ,"74"
"HOSPC","hospc_2013_DATA",33869,"A300000","Line(01800)", , , , , , ,"379", , ,"379"
"HOSPC","hospc_2013_DATA",33869,"A300000","Line(01900)", , , , , , ,"1265", , ,"1265"
"HOSPC","hospc_2013_DATA",33869,"A300000","Line(02400)", , , , , , , ,"727", ,"727"
"Entity[33869] Report(A800000)", , , , , , ,"Entity[33869] Report(A800000[0200])"
"HOSPC","hospc_2013_DATA",33869,"A800000","Line(00300)", , ,"1483"
"Entity[33869] Report(A81000A)", , , , , ,"Entity[33869] Report(A81000A[0100])","Entity[33869] Report(A81000A[0200])","Entity[33869] Report(A81000A[0300])","Entity[33869] Report(A81000A[0400])","Entity[33869] Report(A81000A[0500])","Entity[33869] Report(A81000A[0600])"
"HOSPC","hospc_2013_DATA",33869,"A81000A","Line(00100)", ,"35","MED SUPPLIES CHARGED TO PATIENTS","SUPPLIES","409913","409913"
"HOSPC","hospc_2013_DATA",33869,"A81000A","Line(00200)", ,"6","ADMINISTRATIVE AND GENERAL","HOME OFFICE COSTS","728483","727000","1483"
"Entity[33869] Report(A81000B)", , , , , ,"Entity[33869] Report(A81000B[0100])","Entity[33869] Report(A81000B[0200])", ,"Entity[33869] Report(A81000B[0400])","Entity[33869] Report(A81000B[0500])","Entity[33869] Report(A81000B[0600])"
"HOSPC","hospc_2013_DATA",33869,"A81000B","Line(00100)", ,"B","MSA  INC", ,"MSA  INC","100","SUPPLIES  DME  IV"
