"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36273","G000000 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"","Assets","General","Purpose","Endowment","Plant", , 
"-------------","-------------","-------------", ,"","(Omit cents)","Fund","Fund","Fund","Fund", , 
"-------------","-------------","-------------", ,"","","1","2","3","4", , 
"-------------","-------------","-------------", ,"","CURRENT  ASSETS","","","","", , 
 , , , , , , , , , , , 
"Entity[36273] Report(G000000)", , , , , ,"Entity[36273] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",36273,"G000000","Line(00100)", ,"79000"
"HOSPC","hospc_2013_DATA",36273,"G000000","Line(01100)", ,"79000"
"HOSPC","hospc_2013_DATA",36273,"G000000","Line(03300)", ,"79000"
"HOSPC","hospc_2013_DATA",36273,"G000000","Line(04000)", ,"79000"
"HOSPC","hospc_2013_DATA",36273,"G000000","Line(04200)", ,"79000"
"HOSPC","hospc_2013_DATA",36273,"G000000","Line(05000)", ,"79000"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36273","G100000 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"","","","GENERAL ","SPECIFIC ","ENDOWMENT","PLANT  FUND", 
"-------------","-------------","-------------", ,"","","","FUND","PURPOSE  FUND","FUND","", 
"-------------","-------------","-------------", ,"","","","1","2","3","4", 
 , , , , , , , , , , , 
"Entity[36273] Report(G100000)", , , , ,"Entity[36273] Report(G100000[0000])"
"HOSPC","hospc_2013_DATA",36273,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SPEC"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36273","G200002 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"","PART II - OPERATING EXPENSES", , , , , , 
 , , , , , , , , , , , 
"Entity[36273] Report(G200002)", , , , ,"Entity[36273] Report(G200002[0000])", ,"Entity[36273] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",36273,"G200002","Line(00200)","DD (SPECIFY)"
"HOSPC","hospc_2013_DATA",36273,"G200002","Line(00900)","EDUCT (SPECIFY)"
"HOSPC","hospc_2013_DATA",36273,"G200002","Line(01500)", , ,"2640086"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
