"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34495","D000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","", , , , , , , , , , , 
"-------------","-------------", ,"COMPUTATION OF PER DIEM COST","","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , 
"-------------","-------------", ,"","","-1","-2","-3","-4", , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34495] Report(D000000[0100])", ,"Entity[34495] Report(D000000[0300])","Entity[34495] Report(D000000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",34495,"D000000","Line(00100)", , , , ,"1829159", , , , , , , , , , , 
"hospc_2013_DATA",34495,"D000000","Line(00200)", , , , ,"15444", , , , , , , , , , , 
"hospc_2013_DATA",34495,"D000000","Line(00300)", , , , ,"118", , , , , , , , , , , 
"hospc_2013_DATA",34495,"D000000","Line(00400)", ,"15066", , , , , , , , , , , , , , 
"hospc_2013_DATA",34495,"D000000","Line(00500)", ,"1784417", , , , , , , , , , , , , , 
"hospc_2013_DATA",34495,"D000000","Line(01200)", , , ,"378", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
