"Entity[33896] Report(A000000)", , , , ,"Entity[33896] Report(A000000[0000])","Entity[33896] Report(A000000[0100])","Entity[33896] Report(A000000[0200])","Entity[33896] Report(A000000[0300])","Entity[33896] Report(A000000[0400])","Entity[33896] Report(A000000[0500])","Entity[33896] Report(A000000[0600])","Entity[33896] Report(A000000[0700])","Entity[33896] Report(A000000[0800])","Entity[33896] Report(A000000[0900])","Entity[33896] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"415857","415857", ,"415857", ,"415857"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"8036","8036", ,"8036", ,"8036"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE","17082","4417", , ,"110584","132083", ,"132083", ,"132083"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(00400)","0400TRANSPORTATION-STAFF", , , , ,"5336","5336", ,"5336", ,"5336"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","27775","7183","1303", ,"75","36336", ,"36336", ,"36336"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","179664","46462","480","37356","91642","355604","-139","355465","-5996","349469"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","359446","92954","119","123618","433","576570", ,"576570", ,"576570"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"8000","10","8010", ,"8010", ,"8010"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(01600)","1600NURSING CARE","210572","54454","13470", ,"1078","279574", ,"279574", ,"279574"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(01700)","1700PHYSICAL THERAPY"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","29605","7656","4009","2760","300","44330", ,"44330", ,"44330"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","11115","2874","4594", ,"300","18883", ,"18883", ,"18883"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","23641","6114","6255","386","563","36959", ,"36959", ,"36959"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"37926", ,"37926", ,"37926", ,"37926"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"35378", ,"35378", ,"35378", ,"35378"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"5942", ,"5942", ,"5942", ,"5942"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"4459", ,"4459", ,"4459", ,"4459"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","7941","2054","1532", ,"1206","12733", ,"12733", ,"12733"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , ,"1210","1210", ,"1210", ,"1210"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(05200)","5200FUNDRAISING","124585","32218","134", ,"129911","286848", ,"286848", ,"286848"
"HOSPC","hospc_2013_DATA",33896,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","43856","11341","4586","50294","6107","116184","139","116323","-48698","67625"
"Entity[33896] Report(A100000)", , , , , ,"Entity[33896] Report(A100000[0100])","Entity[33896] Report(A100000[0200])","Entity[33896] Report(A100000[0300])","Entity[33896] Report(A100000[0400])","Entity[33896] Report(A100000[0500])", ,"Entity[33896] Report(A100000[0700])","Entity[33896] Report(A100000[0800])","Entity[33896] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(00300)", , , , , , , , ,"17082","17082"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(00500)", , , , ,"27775", , , , ,"27775"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(00600)", ,"85170", , , , , , ,"94494","179664"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(01000)", , , ,"10699", ,"249402", ,"93787","5558","359446"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(01600)", , ,"83755", , ,"126817", , , ,"210572"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(02000)", , , ,"29605", , , , , ,"29605"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(02100)", , , , , , , , ,"11115","11115"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(02400)", , , , , , , ,"23641", ,"23641"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(05000)", , , , , , , , ,"7941","7941"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(05200)", , , , , , , , ,"124585","124585"
"HOSPC","hospc_2013_DATA",33896,"A100000","Line(05300)", , , , , , , , ,"43856","43856"
"Entity[33896] Report(A200000)", , , , , ,"Entity[33896] Report(A200000[0100])","Entity[33896] Report(A200000[0200])","Entity[33896] Report(A200000[0300])","Entity[33896] Report(A200000[0400])","Entity[33896] Report(A200000[0500])", ,"Entity[33896] Report(A200000[0700])","Entity[33896] Report(A200000[0800])","Entity[33896] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(00300)", , , , , , , , ,"4417","4417"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(00500)", , , , ,"7183", , , , ,"7183"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(00600)", ,"22025", , , , , , ,"24437","46462"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(01000)", , , ,"2767", ,"64496", ,"24254","1437","92954"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(01600)", , ,"21659", , ,"32795", , , ,"54454"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(02000)", , , ,"7656", , , , , ,"7656"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(02100)", , , , , , , , ,"2874","2874"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(02400)", , , , , , , ,"6114", ,"6114"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(05000)", , , , , , , , ,"2054","2054"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(05200)", , , , , , , , ,"32218","32218"
"HOSPC","hospc_2013_DATA",33896,"A200000","Line(05300)", , , , , , , , ,"11341","11341"
"Entity[33896] Report(A300000)", , , , , , ,"Entity[33896] Report(A300000[0200])","Entity[33896] Report(A300000[0300])", ,"Entity[33896] Report(A300000[0500])", ,"Entity[33896] Report(A300000[0700])","Entity[33896] Report(A300000[0800])","Entity[33896] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33896,"A300000","Line(00600)", , , , , , , , ,"37356","37356"
"HOSPC","hospc_2013_DATA",33896,"A300000","Line(01000)", , ,"36435","1350", ,"14858", ,"8341","62634","123618"
"HOSPC","hospc_2013_DATA",33896,"A300000","Line(01500)", , ,"8000", , , , , , ,"8000"
"HOSPC","hospc_2013_DATA",33896,"A300000","Line(02000)", , , ,"2760", , , , , ,"2760"
"HOSPC","hospc_2013_DATA",33896,"A300000","Line(02400)", , , , , , , ,"386", ,"386"
"HOSPC","hospc_2013_DATA",33896,"A300000","Line(03000)", , , , , , , , ,"37926","37926"
"HOSPC","hospc_2013_DATA",33896,"A300000","Line(03100)", , , , , , , , ,"35378","35378"
"HOSPC","hospc_2013_DATA",33896,"A300000","Line(03200)", , , , , , , , ,"5942","5942"
"HOSPC","hospc_2013_DATA",33896,"A300000","Line(03500)", , , , , , , , ,"4459","4459"
"HOSPC","hospc_2013_DATA",33896,"A300000","Line(05300)", , , , , , , , ,"50294","50294"
"Entity[33896] Report(A600010)", , , , ,"Entity[33896] Report(A600010[0000])","Entity[33896] Report(A600010[0100])","Entity[33896] Report(A600010[0200])","Entity[33896] Report(A600010[0300])", ,"Entity[33896] Report(A600010[0500])","Entity[33896] Report(A600010[0600])","Entity[33896] Report(A600010[0700])", ,"Entity[33896] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",33896,"A600010","Line(00100)","NHPCO","A","OTHER NONREIMBURSABLE COSTS","53", ,"139","ADMINISTRATIVE AND GENERAL","6", ,"139"
"Entity[33896] Report(A700000)", , , , , ,"Entity[33896] Report(A700000[0100])", , , , ,"Entity[33896] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33896,"A700000","Line(00100)", ,"53607", , , , ,"53607"
"HOSPC","hospc_2013_DATA",33896,"A700000","Line(00200)", ,"152619", , , , ,"152619"
"HOSPC","hospc_2013_DATA",33896,"A700000","Line(00300)", ,"5429671", , , , ,"5429671"
"HOSPC","hospc_2013_DATA",33896,"A700000","Line(00400)", ,"7247", , , , ,"7247"
"HOSPC","hospc_2013_DATA",33896,"A700000","Line(00500)", ,"126162", , , , ,"126162"
"HOSPC","hospc_2013_DATA",33896,"A700000","Line(00600)", ,"477481", , , , ,"477481"
"HOSPC","hospc_2013_DATA",33896,"A700000","Line(00700)", ,"6246787", , , , ,"6246787"
"Entity[33896] Report(A800000)", , , , ,"Entity[33896] Report(A800000[0000])","Entity[33896] Report(A800000[0100])","Entity[33896] Report(A800000[0200])","Entity[33896] Report(A800000[0300])","Entity[33896] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33896,"A800000","Line(00600)", ,"A","-5996","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33896,"A800000","Line(00800)","MEDICAID","A","-48698","OTHER NONREIMBURSABLE COSTS","53"
