"Entity[33858] Report(A000000)", , , , ,"Entity[33858] Report(A000000[0000])","Entity[33858] Report(A000000[0100])","Entity[33858] Report(A000000[0200])","Entity[33858] Report(A000000[0300])","Entity[33858] Report(A000000[0400])","Entity[33858] Report(A000000[0500])","Entity[33858] Report(A000000[0600])", ,"Entity[33858] Report(A000000[0800])","Entity[33858] Report(A000000[0900])","Entity[33858] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"216630","216630", ,"216630", ,"216630"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"16410","16410", ,"16410", ,"16410"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE","43078","7559", , ,"159706","210343", ,"210343", ,"210343"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","41975","7365", , ,"781","50121", ,"50121", ,"50121"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","602686","105753","643", ,"399479","1108561", ,"1108561","-82721","1025840"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","897823","157541", , , ,"1055364", ,"1055364", ,"1055364"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE","57308","10056", , , ,"67364", ,"67364", ,"67364"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"70932", ,"70932", ,"70932", ,"70932"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(01600)","1600NURSING CARE","736660","129261","55910", ,"730079","1651910", ,"1651910","-555073","1096837"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"12355", ,"12355", ,"12355", ,"12355"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"1711", ,"1711", ,"1711", ,"1711"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","99619","17480","3613", , ,"120712", ,"120712", ,"120712"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","90976","15963","2741", , ,"109680", ,"109680", ,"109680"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"228506","228506", ,"228506", ,"228506"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"214912","214912", ,"214912", ,"214912"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"51979", ,"51979", ,"51979", ,"51979"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03300)","3300IMAGING SERVICES", , , , ,"840","840", ,"840", ,"840"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"1644","1644", ,"1644", ,"1644"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , ,"16", , ,"16", ,"16", ,"16"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , , ,"1167","1167", ,"1167", ,"1167"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","35564","6240", , ,"7873","49677", ,"49677", ,"49677"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(05200)","5200FUNDRAISING", , , , ,"26118","26118", ,"26118", ,"26118"
"HOSPC","hospc_2013_DATA",33858,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
"Entity[33858] Report(A100000)", , , , , , ,"Entity[33858] Report(A100000[0200])","Entity[33858] Report(A100000[0300])","Entity[33858] Report(A100000[0400])","Entity[33858] Report(A100000[0500])", ,"Entity[33858] Report(A100000[0700])","Entity[33858] Report(A100000[0800])","Entity[33858] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33858,"A100000","Line(00300)", , , , , , , , ,"43078","43078"
"HOSPC","hospc_2013_DATA",33858,"A100000","Line(00500)", , , , , , , , ,"41975","41975"
"HOSPC","hospc_2013_DATA",33858,"A100000","Line(00600)", , ,"99032", ,"154518","118448", , ,"230688","602686"
"HOSPC","hospc_2013_DATA",33858,"A100000","Line(01000)", , , ,"75698","56709","612717", ,"104802","47897","897823"
"HOSPC","hospc_2013_DATA",33858,"A100000","Line(01100)", , , ,"4832","3620","39110", ,"6689","3057","57308"
"HOSPC","hospc_2013_DATA",33858,"A100000","Line(01600)", , , , , ,"597955", ,"138705", ,"736660"
"HOSPC","hospc_2013_DATA",33858,"A100000","Line(02000)", , , ,"99619", , , , , ,"99619"
"HOSPC","hospc_2013_DATA",33858,"A100000","Line(02100)", , , ,"90976", , , , , ,"90976"
"HOSPC","hospc_2013_DATA",33858,"A100000","Line(05000)", , , , , , , , ,"35564","35564"
"Entity[33858] Report(A200000)", , , , , , ,"Entity[33858] Report(A200000[0200])","Entity[33858] Report(A200000[0300])","Entity[33858] Report(A200000[0400])","Entity[33858] Report(A200000[0500])", ,"Entity[33858] Report(A200000[0700])","Entity[33858] Report(A200000[0800])","Entity[33858] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33858,"A200000","Line(00300)", , , , , , , , ,"7559","7559"
"HOSPC","hospc_2013_DATA",33858,"A200000","Line(00500)", , , , , , , , ,"7365","7365"
"HOSPC","hospc_2013_DATA",33858,"A200000","Line(00600)", , ,"17377", ,"27113","20784", , ,"40479","105753"
"HOSPC","hospc_2013_DATA",33858,"A200000","Line(01000)", , , ,"13283","9951","107513", ,"18390","8404","157541"
"HOSPC","hospc_2013_DATA",33858,"A200000","Line(01100)", , , ,"848","635","6863", ,"1174","536","10056"
"HOSPC","hospc_2013_DATA",33858,"A200000","Line(01600)", , , , , ,"104923", ,"24338", ,"129261"
"HOSPC","hospc_2013_DATA",33858,"A200000","Line(02000)", , , ,"17480", , , , , ,"17480"
"HOSPC","hospc_2013_DATA",33858,"A200000","Line(02100)", , , ,"15963", , , , , ,"15963"
"HOSPC","hospc_2013_DATA",33858,"A200000","Line(05000)", , , , , , , , ,"6240","6240"
"Entity[33858] Report(A300000)", , , , , , ,"Entity[33858] Report(A300000[0200])", , , ,"Entity[33858] Report(A300000[0600])", ,"Entity[33858] Report(A300000[0800])","Entity[33858] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33858,"A300000","Line(01500)", , ,"23000", , , , , ,"47932","70932"
"HOSPC","hospc_2013_DATA",33858,"A300000","Line(01700)", , , , , , ,"12355", , ,"12355"
"HOSPC","hospc_2013_DATA",33858,"A300000","Line(01900)", , , , , , ,"1711", , ,"1711"
"HOSPC","hospc_2013_DATA",33858,"A300000","Line(03200)", , , , , , , , ,"51979","51979"
"Entity[33858] Report(A700000)", , , , , ,"Entity[33858] Report(A700000[0100])","Entity[33858] Report(A700000[0200])", ,"Entity[33858] Report(A700000[0400])","Entity[33858] Report(A700000[0500])","Entity[33858] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33858,"A700000","Line(00100)", ,"338883", , , , ,"338883"
"HOSPC","hospc_2013_DATA",33858,"A700000","Line(00200)", ,"113050", , , , ,"113050"
"HOSPC","hospc_2013_DATA",33858,"A700000","Line(00300)", ,"5571220","1201396", ,"1201396", ,"6772616"
"HOSPC","hospc_2013_DATA",33858,"A700000","Line(00400)", ,"100669", , , , ,"100669"
"HOSPC","hospc_2013_DATA",33858,"A700000","Line(00500)", ,"140394","96861", ,"96861", ,"237255"
"HOSPC","hospc_2013_DATA",33858,"A700000","Line(00600)", ,"699717","202650", ,"202650","16541","885826"
"HOSPC","hospc_2013_DATA",33858,"A700000","Line(00700)", ,"6963933","1500907", ,"1500907","16541","8448299"
"Entity[33858] Report(A800000)", , , , ,"Entity[33858] Report(A800000[0000])","Entity[33858] Report(A800000[0100])","Entity[33858] Report(A800000[0200])","Entity[33858] Report(A800000[0300])","Entity[33858] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33858,"A800000","Line(00600)", ,"A","-18050","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33858,"A800000","Line(00800)","FUNDRAISING EXPENSE","A","-26118","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33858,"A800000","Line(00801)","ADVERTISING EXPENSE","A","-38553","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33858,"A800000","Line(00802)","MD NURSING HOME R&B","A","-555073","NURSING CARE","16"
