"Entity[33956] Report(A000000)", , , , ,"Entity[33956] Report(A000000[0000])","Entity[33956] Report(A000000[0100])","Entity[33956] Report(A000000[0200])","Entity[33956] Report(A000000[0300])","Entity[33956] Report(A000000[0400])","Entity[33956] Report(A000000[0500])","Entity[33956] Report(A000000[0600])", ,"Entity[33956] Report(A000000[0800])","Entity[33956] Report(A000000[0900])","Entity[33956] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"102715","102715", ,"102715", ,"102715"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"8692","8692", ,"8692", ,"8692"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"23440","23440", ,"23440", ,"23440"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","671000","100959","117954","4490","419017","1313420", ,"1313420","-475","1312945"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"9950", ,"9950", ,"9950", ,"9950"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(01600)","1600NURSING CARE","346467","52103", , , ,"398570", ,"398570", ,"398570"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"1443", ,"1443", ,"1443", ,"1443"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","82853","12460", , , ,"95313", ,"95313", ,"95313"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","119329","17945", , , ,"137274", ,"137274", ,"137274"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"55537","55537", ,"55537", ,"55537"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"85268","85268", ,"85268", ,"85268"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"60335","60335", ,"60335", ,"60335"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33956,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","21298","3152", , , ,"24450", ,"24450", ,"24450"
"Entity[33956] Report(A100000)", , , , , ,"Entity[33956] Report(A100000[0100])","Entity[33956] Report(A100000[0200])","Entity[33956] Report(A100000[0300])","Entity[33956] Report(A100000[0400])","Entity[33956] Report(A100000[0500])", ,"Entity[33956] Report(A100000[0700])","Entity[33956] Report(A100000[0800])","Entity[33956] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33956,"A100000","Line(00600)", ,"96024","147627", ,"104752", , , ,"322597","671000"
"HOSPC","hospc_2013_DATA",33956,"A100000","Line(01600)", , , , , ,"346467", , , ,"346467"
"HOSPC","hospc_2013_DATA",33956,"A100000","Line(02000)", , , ,"82853", , , , , ,"82853"
"HOSPC","hospc_2013_DATA",33956,"A100000","Line(02400)", , , , , , , ,"119329", ,"119329"
"HOSPC","hospc_2013_DATA",33956,"A100000","Line(05300)", , , , , , , , ,"21298","21298"
"Entity[33956] Report(A200000)", , , , , ,"Entity[33956] Report(A200000[0100])","Entity[33956] Report(A200000[0200])","Entity[33956] Report(A200000[0300])","Entity[33956] Report(A200000[0400])","Entity[33956] Report(A200000[0500])", ,"Entity[33956] Report(A200000[0700])","Entity[33956] Report(A200000[0800])","Entity[33956] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33956,"A200000","Line(00600)", ,"14441","22201", ,"15753", , , ,"48564","100959"
"HOSPC","hospc_2013_DATA",33956,"A200000","Line(01600)", , , , , ,"52103", , , ,"52103"
"HOSPC","hospc_2013_DATA",33956,"A200000","Line(02000)", , , ,"12460", , , , , ,"12460"
"HOSPC","hospc_2013_DATA",33956,"A200000","Line(02400)", , , , , , , ,"17945", ,"17945"
"HOSPC","hospc_2013_DATA",33956,"A200000","Line(05300)", , , , , , , , ,"3152","3152"
"Entity[33956] Report(A300000)", , , , , , , , , , ,"Entity[33956] Report(A300000[0600])", ,"Entity[33956] Report(A300000[0800])","Entity[33956] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33956,"A300000","Line(00600)", , , , , , , , ,"4490","4490"
"HOSPC","hospc_2013_DATA",33956,"A300000","Line(01500)", , , , , , , , ,"9950","9950"
"HOSPC","hospc_2013_DATA",33956,"A300000","Line(01700)", , , , , , ,"1443", , ,"1443"
"Entity[33956] Report(A800000)", , , , , , ,"Entity[33956] Report(A800000[0200])"
"HOSPC","hospc_2013_DATA",33956,"A800000","Line(00300)", , ,"-475"
"Entity[33956] Report(A81000A)", , , , , ,"Entity[33956] Report(A81000A[0100])","Entity[33956] Report(A81000A[0200])","Entity[33956] Report(A81000A[0300])","Entity[33956] Report(A81000A[0400])","Entity[33956] Report(A81000A[0500])","Entity[33956] Report(A81000A[0600])"
"HOSPC","hospc_2013_DATA",33956,"A81000A","Line(00100)", ,"35","MED SUPPLIES CHARGED TO PATIENTS","SUPPLIES","85268","85268"
"HOSPC","hospc_2013_DATA",33956,"A81000A","Line(00200)", ,"6","ADMINISTRATIVE AND GENERAL","HOME OFFICE COSTS","198525","199000","-475"
"Entity[33956] Report(A81000B)", , , , , ,"Entity[33956] Report(A81000B[0100])","Entity[33956] Report(A81000B[0200])", ,"Entity[33956] Report(A81000B[0400])","Entity[33956] Report(A81000B[0500])","Entity[33956] Report(A81000B[0600])"
