"Entity[33929] Report(A000000)", , , , ,"Entity[33929] Report(A000000[0000])","Entity[33929] Report(A000000[0100])","Entity[33929] Report(A000000[0200])","Entity[33929] Report(A000000[0300])","Entity[33929] Report(A000000[0400])","Entity[33929] Report(A000000[0500])","Entity[33929] Report(A000000[0600])","Entity[33929] Report(A000000[0700])","Entity[33929] Report(A000000[0800])","Entity[33929] Report(A000000[0900])","Entity[33929] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(00100)","0100CAP REL COSTS-BLDG & FIXT"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(00200)","0200CAP REL COSTS-MVBLE EQUIP", , , , ,"829","829", ,"829","16458","17287"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"20784","20784", ,"20784", ,"20784"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(00500)","0500VOLUNTEER SERVICES","3538","946", , , ,"4484", ,"4484", ,"4484"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(00600)","0600ADMINISTRATIVE & GENERAL","35793","9573","197","43880","21726","111169", ,"111169","126711","237880"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(01000)","1000INPATIENT-GENERAL CARE", , , ,"19679", ,"19679", ,"19679", ,"19679"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(01100)","1100INPATIENT-RESPITE CARE"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(01500)","1500PHYSICIAN SERVICES"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(01600)","1600NURSING CARE","95709","25598","944", , ,"122251", ,"122251", ,"122251"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"300", ,"300", ,"300", ,"300"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","25314","6770","504", , ,"32588", ,"32588", ,"32588"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","2528","676","299", , ,"3503", ,"3503", ,"3503"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","42391","11338","3107","13482", ,"70318", ,"70318", ,"70318"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03000)","3000DRUGS BIOLOGICAL AND INFUSION", , , , ,"8620","8620","-6069","2551", ,"2551"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03030)","3030ANALGESICS", , , , , , ,"5310","5310", ,"5310"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , , , , ,"759","759", ,"759"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"14890","14890", ,"14890", ,"14890"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , , ,"556","556", ,"556", ,"556"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"14","14", ,"14", ,"14"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENT", , , , ,"6458","6458", ,"6458", ,"6458"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INC E/R DEP", , , ,"78", ,"78", ,"78", ,"78"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , , ,"3262","3262", ,"3262", ,"3262"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","3538","946", , , ,"4484", ,"4484", ,"4484"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COST"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",33929,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
"Entity[33929] Report(A100000)", , , , , , , ,"Entity[33929] Report(A100000[0300])", ,"Entity[33929] Report(A100000[0500])","Entity[33929] Report(A100000[0600])","Entity[33929] Report(A100000[0700])","Entity[33929] Report(A100000[0800])","Entity[33929] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33929,"A100000","Line(00500)", , , , , , , , ,"3538","3538"
"HOSPC","hospc_2013_DATA",33929,"A100000","Line(00600)", , , , , , , , ,"35793","35793"
"HOSPC","hospc_2013_DATA",33929,"A100000","Line(01600)", , , , , ,"95709", , , ,"95709"
"HOSPC","hospc_2013_DATA",33929,"A100000","Line(02000)", , , ,"25314", , , , , ,"25314"
"HOSPC","hospc_2013_DATA",33929,"A100000","Line(02100)", , , , , , ,"2528", , ,"2528"
"HOSPC","hospc_2013_DATA",33929,"A100000","Line(02400)", , , , , , , ,"42391", ,"42391"
"HOSPC","hospc_2013_DATA",33929,"A100000","Line(05000)", , , , , , , , ,"3538","3538"
"Entity[33929] Report(A200000)", , , , , , , ,"Entity[33929] Report(A200000[0300])", ,"Entity[33929] Report(A200000[0500])","Entity[33929] Report(A200000[0600])","Entity[33929] Report(A200000[0700])","Entity[33929] Report(A200000[0800])","Entity[33929] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33929,"A200000","Line(00500)", , , , , , , , ,"946","946"
"HOSPC","hospc_2013_DATA",33929,"A200000","Line(00600)", , , , , , , , ,"9573","9573"
"HOSPC","hospc_2013_DATA",33929,"A200000","Line(01600)", , , , , ,"25598", , , ,"25598"
"HOSPC","hospc_2013_DATA",33929,"A200000","Line(02000)", , , ,"6770", , , , , ,"6770"
"HOSPC","hospc_2013_DATA",33929,"A200000","Line(02100)", , , , , , ,"676", , ,"676"
"HOSPC","hospc_2013_DATA",33929,"A200000","Line(02400)", , , , , , , ,"11338", ,"11338"
"HOSPC","hospc_2013_DATA",33929,"A200000","Line(05000)", , , , , , , , ,"946","946"
"Entity[33929] Report(A300000)", , , , , , ,"Entity[33929] Report(A300000[0200])", , , ,"Entity[33929] Report(A300000[0600])","Entity[33929] Report(A300000[0700])","Entity[33929] Report(A300000[0800])","Entity[33929] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33929,"A300000","Line(00600)", , ,"28500", , , , , ,"15380","43880"
"HOSPC","hospc_2013_DATA",33929,"A300000","Line(01000)", , , , , , , , ,"19679","19679"
"HOSPC","hospc_2013_DATA",33929,"A300000","Line(01700)", , , , , , ,"300", , ,"300"
"HOSPC","hospc_2013_DATA",33929,"A300000","Line(02400)", , , , , , , ,"13482", ,"13482"
"HOSPC","hospc_2013_DATA",33929,"A300000","Line(03600)", , , , , , , , ,"78","78"
"Entity[33929] Report(A600010)", , , , ,"Entity[33929] Report(A600010[0000])","Entity[33929] Report(A600010[0100])","Entity[33929] Report(A600010[0200])","Entity[33929] Report(A600010[0300])", ,"Entity[33929] Report(A600010[0500])","Entity[33929] Report(A600010[0600])","Entity[33929] Report(A600010[0700])", ,"Entity[33929] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",33929,"A600010","Line(00100)","MEDICATIONS","A","ANALGESICS","30", ,"5310","DRUGS  BIOLOGICAL AND INFUSION","30", ,"6069"
"HOSPC","hospc_2013_DATA",33929,"A600010","Line(00200)","MEDICATIONS","A","SEDATIVES/HYPNOTICS","30", ,"759"
"Entity[33929] Report(A700000)", , , , , ,"Entity[33929] Report(A700000[0100])", , , , ,"Entity[33929] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33929,"A700000","Line(00600)", ,"1310959", , , , ,"1310959"
"HOSPC","hospc_2013_DATA",33929,"A700000","Line(00700)", ,"1310959", , , , ,"1310959"
"Entity[33929] Report(A800000)", , , , ,"Entity[33929] Report(A800000[0000])","Entity[33929] Report(A800000[0100])","Entity[33929] Report(A800000[0200])","Entity[33929] Report(A800000[0300])","Entity[33929] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33929,"A800000","Line(00300)", , ,"127915"
"HOSPC","hospc_2013_DATA",33929,"A800000","Line(00801)","PROMOTIONS EXPENSE","A","-607","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33929,"A800000","Line(00803)","AMORTIZE START UP COSTS","A","27734","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33929,"A800000","Line(00805)","PORFESSIONAL FEES","A","-9881","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33929,"A800000","Line(00806)","PROFESSIONAL LIABILITY INSURANCE","A","-1992","ADMINISTRATIVE AND GENERAL","6"
"Entity[33929] Report(A81000A)", , , , , ,"Entity[33929] Report(A81000A[0100])","Entity[33929] Report(A81000A[0200])","Entity[33929] Report(A81000A[0300])","Entity[33929] Report(A81000A[0400])","Entity[33929] Report(A81000A[0500])","Entity[33929] Report(A81000A[0600])"
"HOSPC","hospc_2013_DATA",33929,"A81000A","Line(00100)", ,"2","CAPITAL REL COSTS-MOVABLE EQUIP","HOME OFFICE ALLOCATION","16458", ,"16458"
"HOSPC","hospc_2013_DATA",33929,"A81000A","Line(00200)", ,"6","ADMINISTRATIVE AND GENERAL","HOME OFFICE ALLOCATOIN","111457", ,"111457"
