"Entity[33901] Report(A000000)", , , , ,"Entity[33901] Report(A000000[0000])","Entity[33901] Report(A000000[0100])","Entity[33901] Report(A000000[0200])","Entity[33901] Report(A000000[0300])", ,"Entity[33901] Report(A000000[0500])","Entity[33901] Report(A000000[0600])","Entity[33901] Report(A000000[0700])","Entity[33901] Report(A000000[0800])","Entity[33901] Report(A000000[0900])","Entity[33901] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , , , ,"92335","92335","1459","93794"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , , , ,"172682","172682","161309","333991"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATOR","119089","24259","23572", ,"17533","184453", ,"184453", ,"184453"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","839103","170930","4573", ,"2925752","3940358","-1830552","2109806","171809","2281615"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(01000)","1000INPATIENT-GENERAL CARE","713495","145343", , , ,"858838","361229","1220067", ,"1220067"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , , , , ,"235674","235674", ,"235674"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(01600)","1600NURSING CARE","1328631","270648","84424", ,"129139","1812842", ,"1812842", ,"1812842"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","400642","81613","28980", ,"6996","518231", ,"518231", ,"518231"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","565880","115273","71145", ,"64134","816432", ,"816432", ,"816432"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , , , ,"128944","128944","-137245","-8301"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(03030)","3030ANALGESICS", , , , , , ,"250172","250172","-133407","116765"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , , , , ,"107258","107258","-57196","50062"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , , , ,"413722","413722", ,"413722"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , , , , ,"68536","68536", ,"68536"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","88232","17973","6848", ,"2532","115585", ,"115585", ,"115585"
"HOSPC","hospc_2013_DATA",33901,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","67990","13850", , ,"69103","150943", ,"150943", ,"150943"
"Entity[33901] Report(A100000)", , , , , , ,"Entity[33901] Report(A100000[0200])","Entity[33901] Report(A100000[0300])","Entity[33901] Report(A100000[0400])","Entity[33901] Report(A100000[0500])", ,"Entity[33901] Report(A100000[0700])","Entity[33901] Report(A100000[0800])","Entity[33901] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33901,"A100000","Line(00500)", , , , , , , , ,"119089","119089"
"HOSPC","hospc_2013_DATA",33901,"A100000","Line(00600)", , ,"60316", ,"171518", , , ,"607269","839103"
"HOSPC","hospc_2013_DATA",33901,"A100000","Line(01000)", , , , ,"70232","590508", ,"52755", ,"713495"
"HOSPC","hospc_2013_DATA",33901,"A100000","Line(01600)", , , , ,"42060","1236664", , ,"49907","1328631"
"HOSPC","hospc_2013_DATA",33901,"A100000","Line(02000)", , , ,"400642", , , , , ,"400642"
"HOSPC","hospc_2013_DATA",33901,"A100000","Line(02400)", , , , , , , ,"565880", ,"565880"
"HOSPC","hospc_2013_DATA",33901,"A100000","Line(05000)", , , , , , , , ,"88232","88232"
"HOSPC","hospc_2013_DATA",33901,"A100000","Line(05300)", , , , , , , , ,"67990","67990"
"Entity[33901] Report(A200000)", , , , , , ,"Entity[33901] Report(A200000[0200])","Entity[33901] Report(A200000[0300])","Entity[33901] Report(A200000[0400])","Entity[33901] Report(A200000[0500])", ,"Entity[33901] Report(A200000[0700])","Entity[33901] Report(A200000[0800])","Entity[33901] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33901,"A200000","Line(00500)", , , , , , , , ,"24259","24259"
"HOSPC","hospc_2013_DATA",33901,"A200000","Line(00600)", , ,"12287", ,"34939", , , ,"123704","170930"
"HOSPC","hospc_2013_DATA",33901,"A200000","Line(01000)", , , , ,"14307","120290", ,"10746", ,"145343"
"HOSPC","hospc_2013_DATA",33901,"A200000","Line(01600)", , , , ,"8568","251915", , ,"10165","270648"
"HOSPC","hospc_2013_DATA",33901,"A200000","Line(02000)", , , ,"81613", , , , , ,"81613"
"HOSPC","hospc_2013_DATA",33901,"A200000","Line(02400)", , , , , , , ,"115273", ,"115273"
"HOSPC","hospc_2013_DATA",33901,"A200000","Line(05000)", , , , , , , , ,"17973","17973"
"HOSPC","hospc_2013_DATA",33901,"A200000","Line(05300)", , , , , , , , ,"13850","13850"
"Entity[33901] Report(A600010)", , , , ,"Entity[33901] Report(A600010[0000])","Entity[33901] Report(A600010[0100])","Entity[33901] Report(A600010[0200])","Entity[33901] Report(A600010[0300])", ,"Entity[33901] Report(A600010[0500])","Entity[33901] Report(A600010[0600])","Entity[33901] Report(A600010[0700])", ,"Entity[33901] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(00100)","RECLASSIFY CAPITAL COSTS","A","CAPITAL REL COSTS-BLDG & FIXT","1", ,"92335","ADMINISTRATIVE AND GENERAL","6", ,"265017"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(00200)","RECLASSIFY CAPITAL COSTS","A","CAPITAL REL COSTS-MOVABLE EQUIP","2", ,"172682"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(00300)","RECLASS  PHARMACY","B","DRUGS  BIOLOGICAL AND INFUSION","30", ,"614799","ADMINISTRATIVE AND GENERAL","6", ,"614799"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(00400)","RECLASS PHYSICAN","C","PHYSICIAN SERVICES","15", ,"235674","ADMINISTRATIVE AND GENERAL","6", ,"235674"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(00500)","RECLASS DURABLE MED EQUIP","D","DURABLE MEDICAL EQUIPMENT/OXYGEN","31", ,"413722","ADMINISTRATIVE AND GENERAL","6", ,"413722"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(00600)","RECLASS IP ROUTINE","E","INPATIENT-GENERAL CARE","10", ,"186448","ADMINISTRATIVE AND GENERAL","6", ,"186448"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(00700)","RECLASS PHARM","F","INPATIENT-GENERAL CARE","10", ,"128425","DRUGS  BIOLOGICAL AND INFUSION","30", ,"128425"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(00800)","PATIENT TRANSPORTATION","G","PATIENT TRANSPORTATION","32", ,"68536","ADMINISTRATIVE AND GENERAL","6", ,"68536"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(00900)","LAUNDRY","H","INPATIENT-GENERAL CARE","10", ,"18247","ADMINISTRATIVE AND GENERAL","6", ,"18247"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(01000)","RECLASS PHARM","I","SEDATIVES/HYPNOTICS","30", ,"107258","DRUGS  BIOLOGICAL AND INFUSION","30", ,"107258"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(01100)","RECLASS PHARM","J","ANALGESICS","30", ,"250172","DRUGS  BIOLOGICAL AND INFUSION","30", ,"250172"
"HOSPC","hospc_2013_DATA",33901,"A600010","Line(01200)","RECLASS SUPPLIES","K","INPATIENT-GENERAL CARE","10", ,"28109","ADMINISTRATIVE AND GENERAL","6", ,"28109"
"Entity[33901] Report(A800000)", , , , ,"Entity[33901] Report(A800000[0000])","Entity[33901] Report(A800000[0100])","Entity[33901] Report(A800000[0200])","Entity[33901] Report(A800000[0300])","Entity[33901] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33901,"A800000","Line(00300)", , ,"-60211"
"HOSPC","hospc_2013_DATA",33901,"A800000","Line(00800)","MISCELLANEOUS ADJUSTMENTS","B","66940","ADMINISTRATIVE AND GENERAL","6"
"Entity[33901] Report(A81000A)", , , , , ,"Entity[33901] Report(A81000A[0100])","Entity[33901] Report(A81000A[0200])","Entity[33901] Report(A81000A[0300])","Entity[33901] Report(A81000A[0400])","Entity[33901] Report(A81000A[0500])","Entity[33901] Report(A81000A[0600])"
"HOSPC","hospc_2013_DATA",33901,"A81000A","Line(00100)", ,"30","DRUGS  BIOLOGICAL AND INFUSION","FAMILY PHARMACY","84708","221953","-137245"
"HOSPC","hospc_2013_DATA",33901,"A81000A","Line(00200)", ,"30","SEDATIVES/HYPNOTICS","FAMILY PHARM","35302","92498","-57196"
"HOSPC","hospc_2013_DATA",33901,"A81000A","Line(00300)", ,"30","ANALGESICS","FAMILY PHARMACY","82339","215746","-133407"
"HOSPC","hospc_2013_DATA",33901,"A81000A","Line(00400)", ,"2","CAPITAL REL COSTS-MOVABLE EQUIP","FROM HOME OFFICE","185033","23724","161309"
"HOSPC","hospc_2013_DATA",33901,"A81000A","Line(00401)", ,"1","CAPITAL REL COSTS-BLDG & FIXT","FROM HOME OFFICE","6523","5064","1459"
"HOSPC","hospc_2013_DATA",33901,"A81000A","Line(00402)", ,"6","ADMINISTRATIVE AND GENERAL","FROM HOME OFFICE","857916","753047","104869"
"Entity[33901] Report(A81000B)", , , , , ,"Entity[33901] Report(A81000B[0100])","Entity[33901] Report(A81000B[0200])", ,"Entity[33901] Report(A81000B[0400])","Entity[33901] Report(A81000B[0500])","Entity[33901] Report(A81000B[0600])"
"HOSPC","hospc_2013_DATA",33901,"A81000B","Line(00100)", ,"G","HOLMES REGIONAL FAMI PHAM", ,"FAMILY PHARMACY", ,"PHARMACY"
