"Entity[33885] Report(A000000)", , , , ,"Entity[33885] Report(A000000[0000])","Entity[33885] Report(A000000[0100])","Entity[33885] Report(A000000[0200])","Entity[33885] Report(A000000[0300])","Entity[33885] Report(A000000[0400])","Entity[33885] Report(A000000[0500])","Entity[33885] Report(A000000[0600])", ,"Entity[33885] Report(A000000[0800])","Entity[33885] Report(A000000[0900])","Entity[33885] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATOR","66595","21148","6969", ,"499","95211", ,"95211", ,"95211"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","253765","80585","9760","3890","70835","418835", ,"418835","1172612","1591447"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(01600)","1600NURSING CARE","421151","133740","77512", ,"481289","1113692", ,"1113692","-475619","638073"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY","75","24","20", , ,"119", ,"119", ,"119"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","79516","25251","9575", ,"1768","116110", ,"116110", ,"116110"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","75604","24009","6967", ,"562","107142", ,"107142", ,"107142"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","252529","80193","36964", ,"2995","372681", ,"372681", ,"372681"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(02500)","2500OTHER VISITING SERVICES","8686","2758","2151","37779","25648","77022", ,"77022", ,"77022"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"217822","217822", ,"217822", ,"217822"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"183674","183674", ,"183674", ,"183674"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"6004", ,"6004", ,"6004", ,"6004"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"40797","40797", ,"40797", ,"40797"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","45340","14398","6249", ,"288","66275", ,"66275", ,"66275"
"HOSPC","hospc_2013_DATA",33885,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
"Entity[33885] Report(A100000)", , , , , , , ,"Entity[33885] Report(A100000[0300])", ,"Entity[33885] Report(A100000[0500])","Entity[33885] Report(A100000[0600])","Entity[33885] Report(A100000[0700])","Entity[33885] Report(A100000[0800])","Entity[33885] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33885,"A100000","Line(00500)", , , , , , , , ,"66595","66595"
"HOSPC","hospc_2013_DATA",33885,"A100000","Line(00600)", , , , , , , , ,"253765","253765"
"HOSPC","hospc_2013_DATA",33885,"A100000","Line(01600)", , , , , ,"421151", , , ,"421151"
"HOSPC","hospc_2013_DATA",33885,"A100000","Line(01800)", , , , , , ,"75", , ,"75"
"HOSPC","hospc_2013_DATA",33885,"A100000","Line(02000)", , , ,"79516", , , , , ,"79516"
"HOSPC","hospc_2013_DATA",33885,"A100000","Line(02100)", , , , , , , , ,"75604","75604"
"HOSPC","hospc_2013_DATA",33885,"A100000","Line(02400)", , , , , , , ,"252529", ,"252529"
"HOSPC","hospc_2013_DATA",33885,"A100000","Line(02500)", , , , , , , , ,"8686","8686"
"HOSPC","hospc_2013_DATA",33885,"A100000","Line(05000)", , , , , , , , ,"45340","45340"
"Entity[33885] Report(A200000)", , , , , , , ,"Entity[33885] Report(A200000[0300])", ,"Entity[33885] Report(A200000[0500])","Entity[33885] Report(A200000[0600])","Entity[33885] Report(A200000[0700])","Entity[33885] Report(A200000[0800])","Entity[33885] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33885,"A200000","Line(00500)", , , , , , , , ,"21148","21148"
"HOSPC","hospc_2013_DATA",33885,"A200000","Line(00600)", , , , , , , , ,"80585","80585"
"HOSPC","hospc_2013_DATA",33885,"A200000","Line(01600)", , , , , ,"133740", , , ,"133740"
"HOSPC","hospc_2013_DATA",33885,"A200000","Line(01800)", , , , , , ,"24", , ,"24"
"HOSPC","hospc_2013_DATA",33885,"A200000","Line(02000)", , , ,"25251", , , , , ,"25251"
"HOSPC","hospc_2013_DATA",33885,"A200000","Line(02100)", , , , , , , , ,"24009","24009"
"HOSPC","hospc_2013_DATA",33885,"A200000","Line(02400)", , , , , , , ,"80193", ,"80193"
"HOSPC","hospc_2013_DATA",33885,"A200000","Line(02500)", , , , , , , , ,"2758","2758"
"HOSPC","hospc_2013_DATA",33885,"A200000","Line(05000)", , , , , , , , ,"14398","14398"
"Entity[33885] Report(A300000)", , , , , , , , , , , , ,"Entity[33885] Report(A300000[0800])","Entity[33885] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33885,"A300000","Line(00600)", , , , , , , , ,"3890","3890"
"HOSPC","hospc_2013_DATA",33885,"A300000","Line(02500)", , , , , , , , ,"37779","37779"
"HOSPC","hospc_2013_DATA",33885,"A300000","Line(03200)", , , , , , , , ,"6004","6004"
"Entity[33885] Report(A700000)", , , , , ,"Entity[33885] Report(A700000[0100])","Entity[33885] Report(A700000[0200])", ,"Entity[33885] Report(A700000[0400])", ,"Entity[33885] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33885,"A700000","Line(00300)", ,"263818","7484974", ,"7484974", ,"7748792"
"HOSPC","hospc_2013_DATA",33885,"A700000","Line(00400)", ,"420617","35511", ,"35511", ,"456128"
"HOSPC","hospc_2013_DATA",33885,"A700000","Line(00600)", ,"5618669","684417", ,"684417", ,"6303086"
"HOSPC","hospc_2013_DATA",33885,"A700000","Line(00700)", ,"6303104","8204902", ,"8204902", ,"14508006"
"Entity[33885] Report(A800000)", , , , ,"Entity[33885] Report(A800000[0000])","Entity[33885] Report(A800000[0100])","Entity[33885] Report(A800000[0200])","Entity[33885] Report(A800000[0300])","Entity[33885] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33885,"A800000","Line(00300)", , ,"1262899"
"HOSPC","hospc_2013_DATA",33885,"A800000","Line(00800)","MISCELLANEOUS ADJUSTMENTS","B","-475619","NURSING CARE","16"
"HOSPC","hospc_2013_DATA",33885,"A800000","Line(00801)","ADVERTISING AND MARKETING","B","-90287","ADMINISTRATIVE AND GENERAL","6"
"Entity[33885] Report(A81000A)", , , , , ,"Entity[33885] Report(A81000A[0100])","Entity[33885] Report(A81000A[0200])","Entity[33885] Report(A81000A[0300])","Entity[33885] Report(A81000A[0400])", ,"Entity[33885] Report(A81000A[0600])"
