"Entity[34113] Report(G000000)", , , , , ,"Entity[34113] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(00100)", ,"135323"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(00400)", ,"526447"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(00500)", ,"100000"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(00900)", ,"4153"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(01100)", ,"765923"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(01500)", ,"415134"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(01600)", ,"202580"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(01900)", ,"130657"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(02100)", ,"122977"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(02200)", ,"74379"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(02300)", ,"102621"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(02400)", ,"86852"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(02700)", ,"407578"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(03300)", ,"1173501"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(03400)", ,"104580"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(03500)", ,"230998"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(04100)", ,"-283000"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(04200)", ,"52578"
"HOSPC","hospc_2013_DATA",34113,"G000000","Line(05100)", ,"1120923"
"Entity[34113] Report(G100000)", , , , ,"Entity[34113] Report(G100000[0000])","Entity[34113] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34113,"G100000","Line(00100)", ,"1234196"
"HOSPC","hospc_2013_DATA",34113,"G100000","Line(00200)", ,"-53273"
"HOSPC","hospc_2013_DATA",34113,"G100000","Line(00300)", ,"1180923"
"HOSPC","hospc_2013_DATA",34113,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SPEC"
"HOSPC","hospc_2013_DATA",34113,"G100000","Line(01100)", ,"1180923"
"HOSPC","hospc_2013_DATA",34113,"G100000","Line(01200)","DEDUCTIONS (DEBIT ADJUSTMENTS)(SPEC"
"HOSPC","hospc_2013_DATA",34113,"G100000","Line(01300)","PRIOR-YEAR_ADJUSTMENT-DECREASE","60000"
"HOSPC","hospc_2013_DATA",34113,"G100000","Line(01800)", ,"60000"
"Entity[34113] Report(G200001)", , , , , ,"Entity[34113] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34113,"G200001","Line(00100)", ,"982118"
"HOSPC","hospc_2013_DATA",34113,"G200001","Line(00200)", ,"110860"
"HOSPC","hospc_2013_DATA",34113,"G200001","Line(00300)", ,"1851269"
"HOSPC","hospc_2013_DATA",34113,"G200001","Line(00400)", ,"45549"
"HOSPC","hospc_2013_DATA",34113,"G200001","Line(00500)", ,"703581"
"Entity[34113] Report(G200002)", , , , ,"Entity[34113] Report(G200002[0000])","Entity[34113] Report(G200002[0100])","Entity[34113] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34113,"G200002","Line(00100)", , ,"3862386"
"HOSPC","hospc_2013_DATA",34113,"G200002","Line(00200)","ADD (SPECIFY) ROUNDING","2"
"HOSPC","hospc_2013_DATA",34113,"G200002","Line(00800)", , ,"2"
"HOSPC","hospc_2013_DATA",34113,"G200002","Line(01000)","COMMUNITY SUPPORT","330"
"HOSPC","hospc_2013_DATA",34113,"G200002","Line(01300)","MEDICAID ROOM & BOARD","818989"
"HOSPC","hospc_2013_DATA",34113,"G200002","Line(01400)", , ,"819319"
"HOSPC","hospc_2013_DATA",34113,"G200002","Line(01500)", , ,"3043069"
