"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32672"," Report D000000 ","-------------","-------------","-----------",""
"","","","","",""
"COMPUTATION OF PER DIEM COST","","TITLE XVIII","TITLE XIX","OTHER","TOTAL"
"","","-1","-2","-3","-4"
"Entity[32672] Report(D000000)", ,"Entity[32672] Report(D000000[0100])", ,"Entity[32672] Report(D000000[0300])","Entity[32672] Report(D000000[0400])"
"Line(00100)", , , , ,"682098"
"Line(00200)", , , , ,"1369"
"Line(00300)", , , , ,"498"
"Line(00400)", ,"566"
"Line(00500)", ,"282010"
"Line(00800)", ,"3"
"Line(00900)", ,"1495"
"Line(01200)", , , ,"803"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
