"----------"," Entity 32672"," Report G200001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"Revenue  Center","","","","", , , , , , , , , , , , , , , 
"","","","TOTAL","", , , , , , , , , , , , , , , 
"GENERAL INPATIENT AND HOME CARE SERVICE LOCATION","","","","", , , , , , , , , , , , , , , 
" Skilled Nursing Facility based","","","","1", , , , , , , , , , , , , , , 
" Nursing facility based","","","","2", , , , , , , , , , , , , , , 
" Home care","","","","3", , , , , , , , , , , , , , , 
" Other (See Instructions)","","","","4", , , , , , , , , , , , , , , 
" State Medicaid room & board","","","","5", , , , , , , , , , , , , , , 
"\" Total General Inpatient Revenues  ( Sum of lines 1"," 2"," 3 and 4 )\"","","","","6", , , , , , , , , , , , , 
 ,"Entity[32672] Report(G200001[0100])", , , , , , , , , , , , , , , , , , 
 ,"96015", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 32672"," Report G200002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"PART II - OPERATING EXPENSES", , , , , , , , , , , , , , , , , , , 
 , ,"Entity[32672] Report(G200002[0200])", , , , , , , , , , , , , , , , , 
 , ,"656396", , , , , , , , , , , , , , , , , 
 , ,"656396", , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
