"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32672"," Report A200000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","",""
"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)"
"","","1","2","3","4","5","6","7","8","9"
"","GENERAL SERVICE COST CENTERS","","","","","","","","",""
"Entity[32672] Report(A200000)", ,"Entity[32672] Report(A200000[0100])","Entity[32672] Report(A200000[0200])","Entity[32672] Report(A200000[0300])", ,"Entity[32672] Report(A200000[0500])", , ,"Entity[32672] Report(A200000[0800])","Entity[32672] Report(A200000[0900])"
"Line(00500)", , , , , , , , ,"2562","2562"
"Line(00600)", ,"6571", , , , , , ,"1560","8131"
"Line(01600)", , ,"8019", , ,"17683", , , ,"25702"
"Line(02000)", , , ,"2193", , , , , ,"2193"
"Line(02200)", , , , , , , , ,"147","147"
"Line(05000)", , , , , , , , ,"2710","2710"
