"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32589"," Report B100000 ","-------------","-------------","-----------",""
"","","CAPITAL","RELATED","","","VOLUNTEER","","","","",""
"","","RELATED","COST","PLANT","","SERVICE","","ADMINIS-","A & G","A & G","A & G"
"","","COST BLDG ","MOVABLE","OPERATION","TRANS-","COORDI-","","TRATIVE  &","SHARED","REIMB.","NON-REIMB."
"","COST CENTER DESCRIPTIONS","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","RECONCI-","GENERAL","COSTS","COSTS","COSTS"
"","","(SQ. FT.)","$ VALUE)","(SQ. FT.)","(MILEAGE)","(HOURS)","LIATION","(ACC. COST)","(ACC. COST)","(ACC. COST)","(ACC. COST)"
"","","1","2","3","4","5","6A","6","6.01","6.02","6.03"
"","GENERAL SERVICE COST CENTERS"," "," ","","","","","",""," ",""
"Entity[32589] Report(B100000)", ,"Entity[32589] Report(B100000[0100])","Entity[32589] Report(B100000[0200])","Entity[32589] Report(B100000[0300])", ,"Entity[32589] Report(B100000[0500])","Entity[32589] Report(B100000[0600])"
"Line(00000)", , , , , , ,"X"
"Line(00100)", ,"3288"
"Line(00200)", , ,"3288"
"Line(00300)", , , ,"3288"
"Line(00500)", ,"165","165","165", ,"87"
"Line(00600)", , , , , ,"87","151459"
"Line(01500)", , , , , , ,"10000"
"Line(01600)", ,"820","820","820", , ,"40071"
"Line(02000)", ,"330","330","330", , ,"3500"
"Line(02100)", ,"165","165","165", , ,"3887"
"Line(02400)", ,"655","655","655", , ,"16723"
"Line(02500)", , , , , , ,"2880"
"Line(03000)", , , , , , ,"1155"
"Line(03100)", , , , , , ,"6472"
"Line(03500)", ,"330","330","330", , ,"2661"
"Line(05000)", ,"165","165","165", , ,"611"
"Line(05100)", ,"165","165","165", , ,"611"
"Line(05300)", ,"493","493","493", , ,"62888"
"Line(10000)", ,"6665","5196","311", ,"611","43137"
