"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32589"," Report A300000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","",""
"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)"
"","","1","2","3","4","5","6","7","8","9"
"","GENERAL SERVICE COST CENTERS","","","","","","","","",""
"Entity[32589] Report(A300000)", , ,"Entity[32589] Report(A300000[0200])", , , , , ,"Entity[32589] Report(A300000[0800])","Entity[32589] Report(A300000[0900])"
"Line(00600)", , ,"3558", , , , , ,"1673","5231"
"Line(01500)", , ,"10000", , , , , , ,"10000"
"Line(03000)", , , , , , , , ,"1155","1155"
"Line(03100)", , , , , , , , ,"6472","6472"
"Line(03500)", , , , , , , , ,"1440","1440"
"Line(05300)", , , , , , , , ,"18165","18165"
