"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32589"," Report A100000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","",""
"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)"
"","","1","2","3","4","5","6","7","8","9"
"","GENERAL SERVICE COST CENTERS","","","","","","","","",""
"Entity[32589] Report(A100000)", , ,"Entity[32589] Report(A100000[0200])","Entity[32589] Report(A100000[0300])", ,"Entity[32589] Report(A100000[0500])","Entity[32589] Report(A100000[0600])","Entity[32589] Report(A100000[0700])","Entity[32589] Report(A100000[0800])","Entity[32589] Report(A100000[0900])"
"Line(00600)", , , , , , , , ,"10471","10471"
"Line(01600)", , ,"26031", , ,"5729", , , ,"31760"
"Line(02000)", , , ,"1016", , , , , ,"1016"
"Line(02100)", , , , , , , , ,"2439","2439"
"Line(02400)", , , , , , , ,"12200", ,"12200"
"Line(02500)", , , , , , ,"2191", , ,"2191"
"Line(05300)", , , , , , , , ,"38327","38327"
