"----------"," Entity 32589"," Report G000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"Assets","General","Purpose","Endowment","Plant", , , , , , , , , , , , , , , 
"(Omit cents)","Fund","Fund","Fund","Fund", , , , , , , , , , , , , , , 
"","1","2","3","4", , , , , , , , , , , , , , , 
"CURRENT  ASSETS","","","","", , , , , , , , , , , , , , , 
 ,"Entity[32589] Report(G000000[0100])", , , , , , , , , , , , , , , , , , 
 ,"-2522", , , , , , , , , , , , , , , , , , 
 ,"52835", , , , , , , , , , , , , , , , , , 
 ,"5466", , , , , , , , , , , , , , , , , , 
 ,"55779", , , , , , , , , , , , , , , , , , 
 ,"20233", , , , , , , , , , , , , , , , , , 
 ,"1475", , , , , , , , , , , , , , , , , , 
 ,"18758", , , , , , , , , , , , , , , , , , 
 ,"3936", , , , , , , , , , , , , , , , , , 
 ,"100000", , , , , , , , , , , , , , , , , , 
 ,"103936", , , , , , , , , , , , , , , , , , 
 ,"178473", , , , , , , , , , , , , , , , , , 
 ,"49771", , , , , , , , , , , , , , , , , , 
 ,"30041", , , , , , , , , , , , , , , , , , 
 ,"13103", , , , , , , , , , , , , , , , , , 
 ,"50000", , , , , , , , , , , , , , , , , , 
 ,"142915", , , , , , , , , , , , , , , , , , 
 ,"-270576", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 32589"," Report G100000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","GENERAL ","SPECIFIC ","ENDOWMENT","PLANT  FUND", , , , , , , , , , , , , , 
"","","FUND","PURPOSE  FUND","FUND","", , , , , , , , , , , , , , 
"","","1","2","3","4", , , , , , , , , , , , , , 
"Entity[32589] Report(G100000[0000])","Entity[32589] Report(G100000[0100])", , , , , , , , , , , , , , , , , , 
 ,"-320576", , , , , , , , , , , , , , , , , , 
 ,"-320576", , , , , , , , , , , , , , , , , , 
"ADDITIONS (CREDIT ADJUSTMENTS)(SP","50000", , , , , , , , , , , , , , , , , , 
 ,"50000", , , , , , , , , , , , , , , , , , 
 ,"-270576", , , , , , , , , , , , , , , , , , 
"DEDUCTIONS (DEBIT ADJUSTMENTS)(SP", , , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 32589"," Report G200001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"Revenue  Center","","","","", , , , , , , , , , , , , , , 
"","","","TOTAL","", , , , , , , , , , , , , , , 
"GENERAL INPATIENT AND HOME CARE SERVICE LOCATION","","","","", , , , , , , , , , , , , , , 
" Skilled Nursing Facility based","","","","1", , , , , , , , , , , , , , , 
" Nursing facility based","","","","2", , , , , , , , , , , , , , , 
" Home care","","","","3", , , , , , , , , , , , , , , 
" Other (See Instructions)","","","","4", , , , , , , , , , , , , , , 
" State Medicaid room & board","","","","5", , , , , , , , , , , , , , , 
"\" Total General Inpatient Revenues  ( Sum of lines 1"," 2"," 3 and 4 )\"","","","","6", , , , , , , , , , , , , 
 ,"Entity[32589] Report(G200001[0100])", , , , , , , , , , , , , , , , , , 
 ,"26404", , , , , , , , , , , , , , , , , , 
 ,"9174", , , , , , , , , , , , , , , , , , 
 ,"17257", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 32589"," Report G200002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"PART II - OPERATING EXPENSES", , , , , , , , , , , , , , , , , , , 
"Entity[32589] Report(G200002[0000])","Entity[32589] Report(G200002[0100])","Entity[32589] Report(G200002[0200])", , , , , , , , , , , , , , , , , 
 , ,"212761", , , , , , , , , , , , , , , , , 
"DD (SPECIFY)", , , , , , , , , , , , , , , , , , , 
"LOSS FROM PROVIDER 16-1602","160651", , , , , , , , , , , , , , , , , , 
 , ,"160651", , , , , , , , , , , , , , , , , 
"DEDUCT (SPECIFY) ROUNDING","1", , , , , , , , , , , , , , , , , , 
"MEDICAID ROOM AND BOARD","17257", , , , , , , , , , , , , , , , , , 
 , ,"17258", , , , , , , , , , , , , , , , , 
 , ,"356154", , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
