"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32589"," Report A200000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","",""
"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)"
"","","1","2","3","4","5","6","7","8","9"
"","GENERAL SERVICE COST CENTERS","","","","","","","","",""
"Entity[32589] Report(A200000)", , ,"Entity[32589] Report(A200000[0200])","Entity[32589] Report(A200000[0300])", ,"Entity[32589] Report(A200000[0500])","Entity[32589] Report(A200000[0600])","Entity[32589] Report(A200000[0700])","Entity[32589] Report(A200000[0800])","Entity[32589] Report(A200000[0900])"
"Line(00600)", , , , , , , , ,"1244","1244"
"Line(01600)", , ,"3092", , ,"681", , , ,"3773"
"Line(02000)", , , ,"121", , , , , ,"121"
"Line(02100)", , , , , , , , ,"290","290"
"Line(02400)", , , , , , , ,"1449", ,"1449"
"Line(02500)", , , , , , ,"260", , ,"260"
"Line(05300)", , , , , , , , ,"4553","4553"
