"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32589"," Report A000000 ","-------------","-------------","-----------",""
"","","","","","CON-","","","RECLAS-","","MENTS",""
"","","","EMPLOYEE","","TRACTED","","","SIFICATION","","(Increase/",""
"","","SALARIES","BENEFITS","TRANSPOR-","SERVICES","","","(Increase/","","Decrease)",""
"","COST CENTER DESCRIPTIONS","(From","(From","TATION","(From","","TOTAL","Decrease)","","(Fr Wkst A-8","TOTAL"
"","","Wkst A-1)","Wkst A-2)","(See inst.)","Wkst A-3)","OTHER","(col. 1-5)","(Fr Wkst A-6)","SUBTOTAL","& A-8-1)","(col.8�col.9)"
"","","1","2","3","4","5","6","7","8","9","10"
"","GENERAL SERVICE COST CENTERS",""," "," "," ","","","",""," ",""
"Entity[32589] Report(A000000)","Entity[32589] Report(A000000[0000])","Entity[32589] Report(A000000[0100])","Entity[32589] Report(A000000[0200])","Entity[32589] Report(A000000[0300])","Entity[32589] Report(A000000[0400])","Entity[32589] Report(A000000[0500])","Entity[32589] Report(A000000[0600])", ,"Entity[32589] Report(A000000[0800])","Entity[32589] Report(A000000[0900])","Entity[32589] Report(A000000[1000])"
"Line(00100)","0100CAP REL COSTS-BLDG & FIXT", , , , ,"6665","6665", ,"6665", ,"6665"
"Line(00200)","0200CAP REL COSTS-MVBLE EQUIP", , , , ,"5196","5196", ,"5196", ,"5196"
"Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"311","311", ,"311", ,"311"
"Line(00500)","0500VOLUNTEER SERVICES"
"Line(00600)","0600ADMINISTRATIVE & GENERAL","10471","1244","19","5231","25561","42526", ,"42526", ,"42526"
"Line(01500)","1500PHYSICIAN SERVICES", , , ,"10000", ,"10000", ,"10000", ,"10000"
"Line(01600)","1600NURSING CARE","31760","3773","1502", , ,"37035", ,"37035", ,"37035"
"Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"Line(02000)","2000MEDICAL SOCIAL SERVICES","1016","121","1142", , ,"2279", ,"2279", ,"2279"
"Line(02100)","2100SPIRITUAL COUNSELING","2439","290","547", , ,"3276", ,"3276", ,"3276"
"Line(02300)","2300COUNSELING-OTHER"
"Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","12200","1449","649", , ,"14298", ,"14298", ,"14298"
"Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"Line(02500)","2500OTHER VISITING SERVICES","2191","260","429", , ,"2880", ,"2880", ,"2880"
"Line(03000)","3000DRUGS BIOLOGICAL AND INFUSION", , , ,"1155", ,"1155", ,"1155", ,"1155"
"Line(03030)","3030ANALGESICS"
"Line(03031)","3031SEDATIVES/HYPNOTICS"
"Line(03032)","3032OTHER - SPECIFY"
"Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"6472", ,"6472", ,"6472", ,"6472"
"Line(03500)","3500MED SUPPLIES CHARGED TO PATIENT", , , ,"1440", ,"1440", ,"1440", ,"1440"
"Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"Line(05000)","5000BEREAVEMENT PROGRAM COSTS"
"Line(05100)","5100VOLUNTEER PROGRAM COST"
"Line(05300)","5300OTHER NONREIMBURSABLE COSTS","38327","4553","1798","18165","16385","79228", ,"79228","-18165","61063"
