"Entity[33940] Report(A000000)", , , , ,"Entity[33940] Report(A000000[0000])","Entity[33940] Report(A000000[0100])","Entity[33940] Report(A000000[0200])","Entity[33940] Report(A000000[0300])","Entity[33940] Report(A000000[0400])","Entity[33940] Report(A000000[0500])","Entity[33940] Report(A000000[0600])","Entity[33940] Report(A000000[0700])","Entity[33940] Report(A000000[0800])","Entity[33940] Report(A000000[0900])","Entity[33940] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"8469","8469", ,"8469", ,"8469"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"13283","13283", ,"13283", ,"13283"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , ,"552","20096","20648", ,"20648", ,"20648"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(00400)","0400TRANSPORTATION-STAFF", , ,"73810", , ,"73810", ,"73810", ,"73810"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","44238","14938","287", ,"8662","68125", ,"68125", ,"68125"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","250053","84439","1284","28510","85845","450131","-156","449975", ,"449975"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , ,"23772", ,"23772", ,"23772", ,"23772"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , ,"6340", ,"6340", ,"6340", ,"6340"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"33252","444","33696", ,"33696", ,"33696"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(01600)","1600NURSING CARE","322721","108977","1288", ,"2467","435453", ,"435453", ,"435453"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"77", ,"77", ,"77", ,"77"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","59116","19962", , ,"357","79435", ,"79435", ,"79435"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","21438","7239","333", ,"607","29617", ,"29617", ,"29617"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","81437","27500", , ,"861","109798", ,"109798", ,"109798"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"96961", ,"96961", ,"96961", ,"96961"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"47019", ,"47019", ,"47019", ,"47019"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"11761", ,"11761", ,"11761", ,"11761"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"4742", ,"4742", ,"4742", ,"4742"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"10313", ,"10313", ,"10313", ,"10313"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"11882", ,"11882", ,"11882", ,"11882"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"1299", ,"1299", ,"1299", ,"1299"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"294", ,"294", ,"294", ,"294"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","34306","11585", , ,"9036","54927", ,"54927", ,"54927"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , ,"6146","6146", ,"6146", ,"6146"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(05200)","5200FUNDRAISING", , , , ,"37556","37556", ,"37556", ,"37556"
"HOSPC","hospc_2013_DATA",33940,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS", , , ,"604297","39694","643991","156","644147","-604297","39850"
"Entity[33940] Report(A100000)", , , , , ,"Entity[33940] Report(A100000[0100])","Entity[33940] Report(A100000[0200])","Entity[33940] Report(A100000[0300])", ,"Entity[33940] Report(A100000[0500])", ,"Entity[33940] Report(A100000[0700])","Entity[33940] Report(A100000[0800])","Entity[33940] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33940,"A100000","Line(00500)", , ,"44238", , , , , , ,"44238"
"HOSPC","hospc_2013_DATA",33940,"A100000","Line(00600)", ,"72977", , , , , , ,"177076","250053"
"HOSPC","hospc_2013_DATA",33940,"A100000","Line(01600)", , ,"68003", , ,"254718", , , ,"322721"
"HOSPC","hospc_2013_DATA",33940,"A100000","Line(02000)", , , ,"59116", , , , , ,"59116"
"HOSPC","hospc_2013_DATA",33940,"A100000","Line(02100)", , , , , , , , ,"21438","21438"
"HOSPC","hospc_2013_DATA",33940,"A100000","Line(02400)", , , , , , , ,"81437", ,"81437"
"HOSPC","hospc_2013_DATA",33940,"A100000","Line(05000)", , , , , , , , ,"34306","34306"
"Entity[33940] Report(A200000)", , , , , ,"Entity[33940] Report(A200000[0100])","Entity[33940] Report(A200000[0200])","Entity[33940] Report(A200000[0300])", ,"Entity[33940] Report(A200000[0500])", ,"Entity[33940] Report(A200000[0700])","Entity[33940] Report(A200000[0800])","Entity[33940] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33940,"A200000","Line(00500)", , ,"14938", , , , , , ,"14938"
"HOSPC","hospc_2013_DATA",33940,"A200000","Line(00600)", ,"24643", , , , , , ,"59796","84439"
"HOSPC","hospc_2013_DATA",33940,"A200000","Line(01600)", , ,"22963", , ,"86014", , , ,"108977"
"HOSPC","hospc_2013_DATA",33940,"A200000","Line(02000)", , , ,"19962", , , , , ,"19962"
"HOSPC","hospc_2013_DATA",33940,"A200000","Line(02100)", , , , , , , , ,"7239","7239"
"HOSPC","hospc_2013_DATA",33940,"A200000","Line(02400)", , , , , , , ,"27500", ,"27500"
"HOSPC","hospc_2013_DATA",33940,"A200000","Line(05000)", , , , , , , , ,"11585","11585"
"Entity[33940] Report(A300000)", , , , , , ,"Entity[33940] Report(A300000[0200])", , , ,"Entity[33940] Report(A300000[0600])", ,"Entity[33940] Report(A300000[0800])","Entity[33940] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(00300)", , , , , , , , ,"552","552"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(00600)", , , , , , , , ,"28510","28510"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(01000)", , , , , , , , ,"23772","23772"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(01100)", , , , , , , , ,"6340","6340"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(01500)", , ,"30500", , , , , ,"2752","33252"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(01700)", , , , , , ,"77", , ,"77"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(03000)", , , , , , , , ,"96961","96961"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(03100)", , , , , , , , ,"47019","47019"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(03200)", , , , , , , , ,"11761","11761"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(03300)", , , , , , , , ,"4742","4742"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(03400)", , , , , , , , ,"10313","10313"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(03500)", , , , , , , , ,"11882","11882"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(03600)", , , , , , , , ,"1299","1299"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(03900)", , , , , , , , ,"294","294"
"HOSPC","hospc_2013_DATA",33940,"A300000","Line(05300)", , , , , , , , ,"604297","604297"
"Entity[33940] Report(A600010)", , , , ,"Entity[33940] Report(A600010[0000])","Entity[33940] Report(A600010[0100])","Entity[33940] Report(A600010[0200])","Entity[33940] Report(A600010[0300])", ,"Entity[33940] Report(A600010[0500])","Entity[33940] Report(A600010[0600])","Entity[33940] Report(A600010[0700])", ,"Entity[33940] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",33940,"A600010","Line(00100)","NATIONAL_HOSPICE_ASSOCIATION_DUES-8.","A","OTHER NONREIMBURSABLE COSTS","53", ,"99","ADMINISTRATIVE AND GENERAL","6", ,"99"
"HOSPC","hospc_2013_DATA",33940,"A600010","Line(00200)","NATIONAL_HOSPICE_ASSOCIATION_DUES-8.","A","OTHER NONREIMBURSABLE COSTS","53", ,"57","ADMINISTRATIVE AND GENERAL","6", ,"57"
"Entity[33940] Report(A700000)", , , , , ,"Entity[33940] Report(A700000[0100])","Entity[33940] Report(A700000[0200])", ,"Entity[33940] Report(A700000[0400])", ,"Entity[33940] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33940,"A700000","Line(00100)", ,"24033", , , , ,"24033"
"HOSPC","hospc_2013_DATA",33940,"A700000","Line(00300)", ,"332069", , , , ,"332069"
"HOSPC","hospc_2013_DATA",33940,"A700000","Line(00600)", ,"64072","1100", ,"1100", ,"65172"
"HOSPC","hospc_2013_DATA",33940,"A700000","Line(00700)", ,"420174","1100", ,"1100", ,"421274"
"Entity[33940] Report(A800000)", , , , ,"Entity[33940] Report(A800000[0000])","Entity[33940] Report(A800000[0100])","Entity[33940] Report(A800000[0200])","Entity[33940] Report(A800000[0300])","Entity[33940] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33940,"A800000","Line(00800)","MEDICAID_ROOM_AND_BOARD","A","-604297","OTHER NONREIMBURSABLE COSTS","53"
