"Entity[34034] Report(A000000)", , , , ,"Entity[34034] Report(A000000[0000])","Entity[34034] Report(A000000[0100])","Entity[34034] Report(A000000[0200])","Entity[34034] Report(A000000[0300])","Entity[34034] Report(A000000[0400])","Entity[34034] Report(A000000[0500])","Entity[34034] Report(A000000[0600])","Entity[34034] Report(A000000[0700])","Entity[34034] Report(A000000[0800])","Entity[34034] Report(A000000[0900])","Entity[34034] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"194621","194621", ,"194621", ,"194621"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"52331","52331", ,"52331", ,"52331"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"24147","24147", ,"24147", ,"24147"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","41133","8704", , ,"168","50005", ,"50005", ,"50005"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","593523","125602","3240","72242","333076","1127683","-512","1127171","-51891","1075280"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","534902","113196","2751","203797","24555","879201", ,"879201", ,"879201"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(01500)","1500PHYSICIAN SERVICES","30634","6483", ,"13243", ,"50360", ,"50360", ,"50360"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(01600)","1600NURSING CARE","743672","157376","64187", ,"20688","985923", ,"985923", ,"985923"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"1864", ,"1864", ,"1864", ,"1864"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","153340","32450","12517", ,"7593","205900", ,"205900", ,"205900"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","89381","18915","10130", ,"404","118830", ,"118830", ,"118830"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(02200)","2200DIETARY COUNSELING","545","115", , , ,"660", ,"660", ,"660"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","193209","40887","55809", ,"12253","302158", ,"302158", ,"302158"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"111976", ,"111976", ,"111976", ,"111976"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03030)","3030ANALGESICS", , , ,"85015", ,"85015", ,"85015", ,"85015"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , ,"24801", ,"24801", ,"24801", ,"24801"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"165874", ,"165874", ,"165874", ,"165874"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"19967", ,"19967", ,"19967", ,"19967"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"1932", ,"1932", ,"1932", ,"1932"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"2571", ,"2571", ,"2571", ,"2571"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"50778", ,"50778", ,"50778", ,"50778"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"580", ,"580", ,"580", ,"580"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","16277","3444","37", ,"5713","25471", ,"25471", ,"25471"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , ,"708", ,"903","1611", ,"1611", ,"1611"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(05200)","5200FUNDRAISING", , , , ,"20074","20074", ,"20074", ,"20074"
"HOSPC","hospc_2013_DATA",34034,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","104633","22142","7325","180847","27674","342621","512","343133","-180847","162286"
"Entity[34034] Report(A100000)", , , , , ,"Entity[34034] Report(A100000[0100])","Entity[34034] Report(A100000[0200])","Entity[34034] Report(A100000[0300])", ,"Entity[34034] Report(A100000[0500])", ,"Entity[34034] Report(A100000[0700])","Entity[34034] Report(A100000[0800])","Entity[34034] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(00500)", , , , , , , , ,"41133","41133"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(00600)", ,"131040", , , , , , ,"462483","593523"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(01000)", , ,"94767","36662", ,"336112", ,"67361", ,"534902"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(01500)", , ,"30634", , , , , , ,"30634"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(01600)", , ,"89939", , ,"653733", , , ,"743672"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(02000)", , , ,"153340", , , , , ,"153340"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(02100)", , , , , , , , ,"89381","89381"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(02200)", , , , , , , , ,"545","545"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(02400)", , , , , , , ,"193209", ,"193209"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(05000)", , , , , , , , ,"16277","16277"
"HOSPC","hospc_2013_DATA",34034,"A100000","Line(05300)", , , , , , , , ,"104633","104633"
"Entity[34034] Report(A200000)", , , , , ,"Entity[34034] Report(A200000[0100])","Entity[34034] Report(A200000[0200])","Entity[34034] Report(A200000[0300])", ,"Entity[34034] Report(A200000[0500])", ,"Entity[34034] Report(A200000[0700])","Entity[34034] Report(A200000[0800])","Entity[34034] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(00500)", , , , , , , , ,"8704","8704"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(00600)", ,"27731", , , , , , ,"97871","125602"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(01000)", , ,"20055","7758", ,"71128", ,"14255", ,"113196"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(01500)", , ,"6483", , , , , , ,"6483"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(01600)", , ,"19033", , ,"138343", , , ,"157376"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(02000)", , , ,"32450", , , , , ,"32450"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(02100)", , , , , , , , ,"18915","18915"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(02200)", , , , , , , , ,"115","115"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(02400)", , , , , , , ,"40887", ,"40887"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(05000)", , , , , , , , ,"3444","3444"
"HOSPC","hospc_2013_DATA",34034,"A200000","Line(05300)", , , , , , , , ,"22142","22142"
"Entity[34034] Report(A300000)", , , , , , ,"Entity[34034] Report(A300000[0200])","Entity[34034] Report(A300000[0300])", , ,"Entity[34034] Report(A300000[0600])","Entity[34034] Report(A300000[0700])","Entity[34034] Report(A300000[0800])","Entity[34034] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(00600)", , , , , , , , ,"72242","72242"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(01000)", , ,"2400","600", , , ,"2365","198432","203797"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(01500)", , ,"9600", , , , , ,"3643","13243"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(01700)", , , , , , ,"1864", , ,"1864"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(03000)", , , , , , , , ,"111976","111976"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(03030)", , , , , , , , ,"85015","85015"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(03031)", , , , , , , , ,"24801","24801"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(03100)", , , , , , , , ,"165874","165874"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(03200)", , , , , , , , ,"19967","19967"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(03300)", , , , , , , , ,"1932","1932"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(03400)", , , , , , , , ,"2571","2571"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(03500)", , , , , , , , ,"50778","50778"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(03900)", , , , , , , , ,"580","580"
"HOSPC","hospc_2013_DATA",34034,"A300000","Line(05300)", , , , , , , , ,"180847","180847"
"Entity[34034] Report(A600010)", , , , ,"Entity[34034] Report(A600010[0000])","Entity[34034] Report(A600010[0100])","Entity[34034] Report(A600010[0200])","Entity[34034] Report(A600010[0300])", ,"Entity[34034] Report(A600010[0500])","Entity[34034] Report(A600010[0600])","Entity[34034] Report(A600010[0700])", ,"Entity[34034] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",34034,"A600010","Line(00100)","ASSOCIATION_DUES_ALLOCABLE_TO_LOBBYI","A","OTHER NONREIMBURSABLE COSTS","53", ,"512","ADMINISTRATIVE AND GENERAL","6", ,"512"
"Entity[34034] Report(A700000)", , , , , ,"Entity[34034] Report(A700000[0100])","Entity[34034] Report(A700000[0200])", ,"Entity[34034] Report(A700000[0400])", ,"Entity[34034] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34034,"A700000","Line(00100)", ,"1112014", , , , ,"1112014"
"HOSPC","hospc_2013_DATA",34034,"A700000","Line(00200)", ,"27000", , , , ,"27000"
"HOSPC","hospc_2013_DATA",34034,"A700000","Line(00400)", ,"34998", , , , ,"34998"
"HOSPC","hospc_2013_DATA",34034,"A700000","Line(00600)", ,"577764","25284", ,"25284", ,"603048"
"HOSPC","hospc_2013_DATA",34034,"A700000","Line(00700)", ,"1751776","25284", ,"25284", ,"1777060"
"Entity[34034] Report(A800000)", , , , ,"Entity[34034] Report(A800000[0000])","Entity[34034] Report(A800000[0100])","Entity[34034] Report(A800000[0200])","Entity[34034] Report(A800000[0300])","Entity[34034] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34034,"A800000","Line(00600)", ,"A","-51891","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34034,"A800000","Line(00800)","MEDICAID_ROOM_AND_BOARD","A","-180847","OTHER NONREIMBURSABLE COSTS","53"
