"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36796","D000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","", , , , , , , , , , , 
"-------------","-------------", ,"COMPUTATION OF PER DIEM COST","","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , 
"-------------","-------------", ,"","","-1","-2","-3","-4", , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[36796] Report(D000000[0100])", ,"Entity[36796] Report(D000000[0300])","Entity[36796] Report(D000000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",36796,"D000000","Line(00100)", , , , ,"1217756", , , , , , , , , , , 
"hospc_2013_DATA",36796,"D000000","Line(00200)", , , , ,"12314", , , , , , , , , , , 
"hospc_2013_DATA",36796,"D000000","Line(00300)", , , , ,"99", , , , , , , , , , , 
"hospc_2013_DATA",36796,"D000000","Line(00400)", ,"12246", , , , , , , , , , , , , , 
"hospc_2013_DATA",36796,"D000000","Line(00500)", ,"1211007", , , , , , , , , , , , , , 
"hospc_2013_DATA",36796,"D000000","Line(01200)", , , ,"68", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
