"Entity[33889] Report(A000000)", , , , ,"Entity[33889] Report(A000000[0000])","Entity[33889] Report(A000000[0100])","Entity[33889] Report(A000000[0200])","Entity[33889] Report(A000000[0300])","Entity[33889] Report(A000000[0400])","Entity[33889] Report(A000000[0500])","Entity[33889] Report(A000000[0600])", ,"Entity[33889] Report(A000000[0800])","Entity[33889] Report(A000000[0900])","Entity[33889] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATOR","165276","30479","14359", , ,"210114", ,"210114", ,"210114"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","1599485","460748", , ,"9584922","11645155", ,"11645155","-3363202","8281953"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(01000)","1000INPATIENT-GENERAL CARE", , , ,"292116","89424","381540", ,"381540", ,"381540"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(01100)","1100INPATIENT-RESPITE CARE", , , ,"14358","12080","26438", ,"26438", ,"26438"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"265553", ,"265553", ,"265553", ,"265553"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(01600)","1600NURSING CARE","3692656","680983","266406","230", ,"4640275", ,"4640275", ,"4640275"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"3340", ,"3340", ,"3340", ,"3340"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"135", ,"135", ,"135", ,"135"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"2450", ,"2450", ,"2450", ,"2450"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","698450","128805","68375", , ,"895630", ,"895630", ,"895630"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","384431","70895","53047", , ,"508373", ,"508373", ,"508373"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","709885","130914","512434", , ,"1353233", ,"1353233", ,"1353233"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(02500)","2500OTHER VISITING SERVICES", , , ,"70525","8978","79503", ,"79503", ,"79503"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"41221","820895","862116", ,"862116", ,"862116"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"968104","968104", ,"968104", ,"968104"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"66491","20677","87168", ,"87168", ,"87168"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"3816", ,"3816", ,"3816", ,"3816"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"39435", ,"39435", ,"39435", ,"39435"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"339704","339704", ,"339704", ,"339704"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03700)","3700RADIATION THERAPY", , , ,"23820", ,"23820", ,"23820", ,"23820"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","33040","6093","3031", , ,"42164", ,"42164", ,"42164"
"HOSPC","hospc_2013_DATA",33889,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS", , , ,"5190806", ,"5190806", ,"5190806","-5190806"
"Entity[33889] Report(A100000)", , , , , , ,"Entity[33889] Report(A100000[0200])","Entity[33889] Report(A100000[0300])", ,"Entity[33889] Report(A100000[0500])", ,"Entity[33889] Report(A100000[0700])","Entity[33889] Report(A100000[0800])","Entity[33889] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33889,"A100000","Line(00500)", , , , , , , , ,"165276","165276"
"HOSPC","hospc_2013_DATA",33889,"A100000","Line(00600)", , , , , , , , ,"1599485","1599485"
"HOSPC","hospc_2013_DATA",33889,"A100000","Line(01600)", , ,"757890", , ,"2934766", , , ,"3692656"
"HOSPC","hospc_2013_DATA",33889,"A100000","Line(02000)", , , ,"698450", , , , , ,"698450"
"HOSPC","hospc_2013_DATA",33889,"A100000","Line(02100)", , , , , , , , ,"384431","384431"
"HOSPC","hospc_2013_DATA",33889,"A100000","Line(02400)", , , , , , , ,"709885", ,"709885"
"HOSPC","hospc_2013_DATA",33889,"A100000","Line(05000)", , , , , , , , ,"33040","33040"
"Entity[33889] Report(A200000)", , , , , , ,"Entity[33889] Report(A200000[0200])","Entity[33889] Report(A200000[0300])", ,"Entity[33889] Report(A200000[0500])", ,"Entity[33889] Report(A200000[0700])","Entity[33889] Report(A200000[0800])","Entity[33889] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33889,"A200000","Line(00500)", , , , , , , , ,"30479","30479"
"HOSPC","hospc_2013_DATA",33889,"A200000","Line(00600)", , , , , , , , ,"460748","460748"
"HOSPC","hospc_2013_DATA",33889,"A200000","Line(01600)", , ,"139767", , ,"541216", , , ,"680983"
"HOSPC","hospc_2013_DATA",33889,"A200000","Line(02000)", , , ,"128805", , , , , ,"128805"
"HOSPC","hospc_2013_DATA",33889,"A200000","Line(02100)", , , , , , , , ,"70895","70895"
"HOSPC","hospc_2013_DATA",33889,"A200000","Line(02400)", , , , , , , ,"130914", ,"130914"
"HOSPC","hospc_2013_DATA",33889,"A200000","Line(05000)", , , , , , , , ,"6093","6093"
"Entity[33889] Report(A300000)", , , , , , , , , ,"Entity[33889] Report(A300000[0500])","Entity[33889] Report(A300000[0600])", ,"Entity[33889] Report(A300000[0800])","Entity[33889] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(01000)", , , , , , , , ,"292116","292116"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(01100)", , , , , , , , ,"14358","14358"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(01500)", , , , , , , , ,"265553","265553"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(01600)", , , , , ,"230", , , ,"230"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(01700)", , , , , , ,"3340", , ,"3340"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(01800)", , , , , , ,"135", , ,"135"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(01900)", , , , , , ,"2450", , ,"2450"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(02500)", , , , , , , , ,"70525","70525"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(03000)", , , , , , , , ,"41221","41221"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(03200)", , , , , , , , ,"66491","66491"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(03300)", , , , , , , , ,"3816","3816"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(03400)", , , , , , , , ,"39435","39435"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(03700)", , , , , , , , ,"23820","23820"
"HOSPC","hospc_2013_DATA",33889,"A300000","Line(05300)", , , , , , , , ,"5190806","5190806"
"Entity[33889] Report(A800000)", , , , ,"Entity[33889] Report(A800000[0000])","Entity[33889] Report(A800000[0100])","Entity[33889] Report(A800000[0200])","Entity[33889] Report(A800000[0300])","Entity[33889] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33889,"A800000","Line(00300)", , ,"-575516"
"HOSPC","hospc_2013_DATA",33889,"A800000","Line(00600)", ,"A","-751240","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33889,"A800000","Line(00800)","MISCELLANEOUS ADJUSTMENTS","A","-3162","ADMINISTRATIVE AND GENERAL","6"
