"Entity[33955] Report(A000000)", , , , ,"Entity[33955] Report(A000000[0000])","Entity[33955] Report(A000000[0100])","Entity[33955] Report(A000000[0200])","Entity[33955] Report(A000000[0300])","Entity[33955] Report(A000000[0400])","Entity[33955] Report(A000000[0500])","Entity[33955] Report(A000000[0600])", ,"Entity[33955] Report(A000000[0800])","Entity[33955] Report(A000000[0900])","Entity[33955] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"127305","127305", ,"127305", ,"127305"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"12130","12130", ,"12130", ,"12130"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"24889","24889", ,"24889", ,"24889"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","822371","134071","220758","25233","595931","1798364", ,"1798364","1224","1799588"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"32850", ,"32850", ,"32850", ,"32850"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(01600)","1600NURSING CARE","622764","101529", , , ,"724293", ,"724293", ,"724293"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"665", ,"665", ,"665", ,"665"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","131977","21516", , , ,"153493", ,"153493", ,"153493"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","268265","43735", , , ,"312000", ,"312000", ,"312000"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"143732","143732", ,"143732", ,"143732"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"152183","152183", ,"152183", ,"152183"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"201825","201825", ,"201825", ,"201825"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33955,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","23479","3827", , , ,"27306", ,"27306", ,"27306"
"Entity[33955] Report(A100000)", , , , , ,"Entity[33955] Report(A100000[0100])","Entity[33955] Report(A100000[0200])","Entity[33955] Report(A100000[0300])","Entity[33955] Report(A100000[0400])","Entity[33955] Report(A100000[0500])", ,"Entity[33955] Report(A100000[0700])","Entity[33955] Report(A100000[0800])","Entity[33955] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33955,"A100000","Line(00600)", ,"71096","166763", ,"123455", , , ,"461057","822371"
"HOSPC","hospc_2013_DATA",33955,"A100000","Line(01600)", , , , , ,"622764", , , ,"622764"
"HOSPC","hospc_2013_DATA",33955,"A100000","Line(02000)", , , ,"131977", , , , , ,"131977"
"HOSPC","hospc_2013_DATA",33955,"A100000","Line(02400)", , , , , , , ,"268265", ,"268265"
"HOSPC","hospc_2013_DATA",33955,"A100000","Line(05300)", , , , , , , , ,"23479","23479"
"Entity[33955] Report(A200000)", , , , , ,"Entity[33955] Report(A200000[0100])","Entity[33955] Report(A200000[0200])","Entity[33955] Report(A200000[0300])","Entity[33955] Report(A200000[0400])","Entity[33955] Report(A200000[0500])", ,"Entity[33955] Report(A200000[0700])","Entity[33955] Report(A200000[0800])","Entity[33955] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33955,"A200000","Line(00600)", ,"11591","27187", ,"20127", , , ,"75166","134071"
"HOSPC","hospc_2013_DATA",33955,"A200000","Line(01600)", , , , , ,"101529", , , ,"101529"
"HOSPC","hospc_2013_DATA",33955,"A200000","Line(02000)", , , ,"21516", , , , , ,"21516"
"HOSPC","hospc_2013_DATA",33955,"A200000","Line(02400)", , , , , , , ,"43735", ,"43735"
"HOSPC","hospc_2013_DATA",33955,"A200000","Line(05300)", , , , , , , , ,"3827","3827"
"Entity[33955] Report(A300000)", , , , , , , , , , ,"Entity[33955] Report(A300000[0600])", ,"Entity[33955] Report(A300000[0800])","Entity[33955] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33955,"A300000","Line(00600)", , , , , , , , ,"25233","25233"
"HOSPC","hospc_2013_DATA",33955,"A300000","Line(01500)", , , , , , , , ,"32850","32850"
"HOSPC","hospc_2013_DATA",33955,"A300000","Line(01700)", , , , , , ,"665", , ,"665"
"Entity[33955] Report(A800000)", , , , , , ,"Entity[33955] Report(A800000[0200])"
"HOSPC","hospc_2013_DATA",33955,"A800000","Line(00300)", , ,"1224"
"Entity[33955] Report(A81000A)", , , , , ,"Entity[33955] Report(A81000A[0100])","Entity[33955] Report(A81000A[0200])","Entity[33955] Report(A81000A[0300])","Entity[33955] Report(A81000A[0400])","Entity[33955] Report(A81000A[0500])","Entity[33955] Report(A81000A[0600])"
"HOSPC","hospc_2013_DATA",33955,"A81000A","Line(00100)", ,"35","MED SUPPLIES CHARGED TO PATIENTS","SUPPLIES","152183","152183"
"HOSPC","hospc_2013_DATA",33955,"A81000A","Line(00200)", ,"6","ADMINISTRATIVE AND GENERAL","HOME OFFICE COSTS","318224","317000","1224"
"Entity[33955] Report(A81000B)", , , , , ,"Entity[33955] Report(A81000B[0100])","Entity[33955] Report(A81000B[0200])", ,"Entity[33955] Report(A81000B[0400])","Entity[33955] Report(A81000B[0500])","Entity[33955] Report(A81000B[0600])"
"HOSPC","hospc_2013_DATA",33955,"A81000B","Line(00100)", ,"B","MSA  INC", ,"MSA  INC","100","SUPPLIES  DME"
