"Entity[33892] Report(A000000)", , , , ,"Entity[33892] Report(A000000[0000])","Entity[33892] Report(A000000[0100])","Entity[33892] Report(A000000[0200])","Entity[33892] Report(A000000[0300])","Entity[33892] Report(A000000[0400])","Entity[33892] Report(A000000[0500])","Entity[33892] Report(A000000[0600])", ,"Entity[33892] Report(A000000[0800])","Entity[33892] Report(A000000[0900])","Entity[33892] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATOR","81345","14481","7740", , ,"103566", ,"103566", ,"103566"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","856349","206261", , ,"2970827","4033437", ,"4033437","-594914","3438523"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(01100)","1100INPATIENT-RESPITE CARE", , , , ,"18432","18432", ,"18432", ,"18432"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"187901", ,"187901", ,"187901", ,"187901"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(01600)","1600NURSING CARE","1382610","246123","120518", , ,"1749251", ,"1749251", ,"1749251"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA","75","15", , , ,"90", ,"90", ,"90"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"125", ,"125", ,"125", ,"125"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"520", ,"520", ,"520", ,"520"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"721", ,"721", ,"721", ,"721"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","267815","47675","37072", , ,"352562", ,"352562", ,"352562"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","184744","32887","20751", , ,"238382", ,"238382", ,"238382"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","273945","48766","174079", , ,"496790", ,"496790", ,"496790"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(02500)","2500OTHER VISITING SERVICES", , , ,"3157","5408","8565", ,"8565", ,"8565"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"30296","278484","308780", ,"308780", ,"308780"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"329208","329208", ,"329208", ,"329208"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"13498","5447","18945", ,"18945", ,"18945"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"923", ,"923", ,"923", ,"923"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"19577", ,"19577", ,"19577", ,"19577"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"142889","142889", ,"142889", ,"142889"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03800)","3800CHEMOTHERAPY", , , ,"1886", ,"1886", ,"1886", ,"1886"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","28531","5079","2642", , ,"36252", ,"36252", ,"36252"
"HOSPC","hospc_2013_DATA",33892,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS", , , ,"1194733", ,"1194733", ,"1194733","-1194733"
"Entity[33892] Report(A100000)", , , , , , ,"Entity[33892] Report(A100000[0200])","Entity[33892] Report(A100000[0300])", ,"Entity[33892] Report(A100000[0500])", ,"Entity[33892] Report(A100000[0700])","Entity[33892] Report(A100000[0800])","Entity[33892] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33892,"A100000","Line(00500)", , , , , , , , ,"81345","81345"
"HOSPC","hospc_2013_DATA",33892,"A100000","Line(00600)", , , , , , , , ,"856349","856349"
"HOSPC","hospc_2013_DATA",33892,"A100000","Line(01600)", , ,"347538", , ,"1035072", , , ,"1382610"
"HOSPC","hospc_2013_DATA",33892,"A100000","Line(01620)", , , , , ,"75", , , ,"75"
"HOSPC","hospc_2013_DATA",33892,"A100000","Line(02000)", , , ,"267815", , , , , ,"267815"
"HOSPC","hospc_2013_DATA",33892,"A100000","Line(02100)", , , , , , , , ,"184744","184744"
"HOSPC","hospc_2013_DATA",33892,"A100000","Line(02400)", , , , , , , ,"273945", ,"273945"
"HOSPC","hospc_2013_DATA",33892,"A100000","Line(05000)", , , , , , , , ,"28531","28531"
"Entity[33892] Report(A200000)", , , , , , ,"Entity[33892] Report(A200000[0200])","Entity[33892] Report(A200000[0300])", ,"Entity[33892] Report(A200000[0500])", ,"Entity[33892] Report(A200000[0700])","Entity[33892] Report(A200000[0800])","Entity[33892] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33892,"A200000","Line(00500)", , , , , , , , ,"14481","14481"
"HOSPC","hospc_2013_DATA",33892,"A200000","Line(00600)", , , , , , , , ,"206261","206261"
"HOSPC","hospc_2013_DATA",33892,"A200000","Line(01600)", , ,"61867", , ,"184256", , , ,"246123"
"HOSPC","hospc_2013_DATA",33892,"A200000","Line(01620)", , , , , ,"15", , , ,"15"
"HOSPC","hospc_2013_DATA",33892,"A200000","Line(02000)", , , ,"47675", , , , , ,"47675"
"HOSPC","hospc_2013_DATA",33892,"A200000","Line(02100)", , , , , , , , ,"32887","32887"
"HOSPC","hospc_2013_DATA",33892,"A200000","Line(02400)", , , , , , , ,"48766", ,"48766"
"HOSPC","hospc_2013_DATA",33892,"A200000","Line(05000)", , , , , , , , ,"5079","5079"
"Entity[33892] Report(A300000)", , , , , , , , , , ,"Entity[33892] Report(A300000[0600])", ,"Entity[33892] Report(A300000[0800])","Entity[33892] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(01500)", , , , , , , , ,"187901","187901"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(01700)", , , , , , ,"125", , ,"125"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(01800)", , , , , , ,"520", , ,"520"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(01900)", , , , , , ,"721", , ,"721"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(02500)", , , , , , , , ,"3157","3157"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(03000)", , , , , , , , ,"30296","30296"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(03200)", , , , , , , , ,"13498","13498"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(03300)", , , , , , , , ,"923","923"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(03400)", , , , , , , , ,"19577","19577"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(03800)", , , , , , , , ,"1886","1886"
"HOSPC","hospc_2013_DATA",33892,"A300000","Line(05300)", , , , , , , , ,"1194733","1194733"
"Entity[33892] Report(A800000)", , , , ,"Entity[33892] Report(A800000[0000])","Entity[33892] Report(A800000[0100])","Entity[33892] Report(A800000[0200])","Entity[33892] Report(A800000[0300])","Entity[33892] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33892,"A800000","Line(00300)", , ,"606202"
"HOSPC","hospc_2013_DATA",33892,"A800000","Line(00600)", ,"A","-229898","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33892,"A800000","Line(00802)","SALES EXPENSE","A","-57774","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33892,"A800000","Line(00803)","SALES REPS","A","-714897","ADMINISTRATIVE AND GENERAL","6"
