"Entity[34024] Report(A000000)", , , , ,"Entity[34024] Report(A000000[0000])","Entity[34024] Report(A000000[0100])","Entity[34024] Report(A000000[0200])", ,"Entity[34024] Report(A000000[0400])","Entity[34024] Report(A000000[0500])","Entity[34024] Report(A000000[0600])", ,"Entity[34024] Report(A000000[0800])","Entity[34024] Report(A000000[0900])","Entity[34024] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"25871","25871", ,"25871", ,"25871"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"583","583", ,"583", ,"583"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","774043","472104", ,"107766","284608","1638521", ,"1638521","-176417","1462104"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"13690", ,"13690", ,"13690", ,"13690"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(01600)","1600NURSING CARE","225134","137314", , , ,"362448", ,"362448", ,"362448"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"4545", ,"4545", ,"4545", ,"4545"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"275", ,"275", ,"275", ,"275"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"395", ,"395", ,"395", ,"395"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","14331","8741", ,"1125", ,"24197", ,"24197", ,"24197"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","7017","4279", ,"6713", ,"18009", ,"18009", ,"18009"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","76025","46369", , , ,"122394", ,"122394", ,"122394"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"117660","117660", ,"117660", ,"117660"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"8367","8367", ,"8367", ,"8367"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"175393","175393", ,"175393", ,"175393"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",34024,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS", , , , ,"527979","527979", ,"527979", ,"527979"
"Entity[34024] Report(A100000)", , , , , ,"Entity[34024] Report(A100000[0100])", ,"Entity[34024] Report(A100000[0300])", ,"Entity[34024] Report(A100000[0500])", ,"Entity[34024] Report(A100000[0700])","Entity[34024] Report(A100000[0800])","Entity[34024] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34024,"A100000","Line(00600)", ,"202751", , , ,"196358", , ,"374934","774043"
"HOSPC","hospc_2013_DATA",34024,"A100000","Line(01600)", , , , , ,"225134", , , ,"225134"
"HOSPC","hospc_2013_DATA",34024,"A100000","Line(02000)", , , ,"14331", , , , , ,"14331"
"HOSPC","hospc_2013_DATA",34024,"A100000","Line(02100)", , , , , , , , ,"7017","7017"
"HOSPC","hospc_2013_DATA",34024,"A100000","Line(02400)", , , , , , , ,"76025", ,"76025"
"Entity[34024] Report(A200000)", , , , , ,"Entity[34024] Report(A200000[0100])", ,"Entity[34024] Report(A200000[0300])", ,"Entity[34024] Report(A200000[0500])", ,"Entity[34024] Report(A200000[0700])","Entity[34024] Report(A200000[0800])","Entity[34024] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34024,"A200000","Line(00600)", ,"123662", , , ,"119763", , ,"228679","472104"
"HOSPC","hospc_2013_DATA",34024,"A200000","Line(01600)", , , , , ,"137314", , , ,"137314"
"HOSPC","hospc_2013_DATA",34024,"A200000","Line(02000)", , , ,"8741", , , , , ,"8741"
"HOSPC","hospc_2013_DATA",34024,"A200000","Line(02100)", , , , , , , , ,"4279","4279"
"HOSPC","hospc_2013_DATA",34024,"A200000","Line(02400)", , , , , , , ,"46369", ,"46369"
"Entity[34024] Report(A300000)", , , , , ,"Entity[34024] Report(A300000[0100])", ,"Entity[34024] Report(A300000[0300])", , ,"Entity[34024] Report(A300000[0600])", ,"Entity[34024] Report(A300000[0800])","Entity[34024] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34024,"A300000","Line(00600)", ,"100530", , , , , , ,"7236","107766"
"HOSPC","hospc_2013_DATA",34024,"A300000","Line(01500)", , , , , , , , ,"13690","13690"
"HOSPC","hospc_2013_DATA",34024,"A300000","Line(01700)", , , , , , ,"4545", , ,"4545"
"HOSPC","hospc_2013_DATA",34024,"A300000","Line(01800)", , , , , , ,"275", , ,"275"
"HOSPC","hospc_2013_DATA",34024,"A300000","Line(01900)", , , , , , ,"395", , ,"395"
"HOSPC","hospc_2013_DATA",34024,"A300000","Line(02000)", , , ,"1125", , , , , ,"1125"
"HOSPC","hospc_2013_DATA",34024,"A300000","Line(02100)", , , , , , , , ,"6713","6713"
"Entity[34024] Report(A700000)", , , , , ,"Entity[34024] Report(A700000[0100])", , , , ,"Entity[34024] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34024,"A700000","Line(00600)", ,"24695", , , , ,"24695"
"HOSPC","hospc_2013_DATA",34024,"A700000","Line(00700)", ,"24695", , , , ,"24695"
"Entity[34024] Report(A800000)", , , , ,"Entity[34024] Report(A800000[0000])","Entity[34024] Report(A800000[0100])","Entity[34024] Report(A800000[0200])","Entity[34024] Report(A800000[0300])","Entity[34024] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34024,"A800000","Line(00801)","6342 - SALARY-DIR. OF BUS. DEVELOPME","A","-104329","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34024,"A800000","Line(00802)","6011 - ADVERTISING","A","-25","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34024,"A800000","Line(00803)","6155 - DONATION","A","-2960","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34024,"A800000","Line(00804)","6780 - SUPPLIES-MARKETING","A","-65726","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34024,"A800000","Line(00805)","8010 - OTHER EXPENSES","A","-3377","ADMINISTRATIVE AND GENERAL","6"
