"Entity[34056] Report(A000000)", , , , ,"Entity[34056] Report(A000000[0000])","Entity[34056] Report(A000000[0100])","Entity[34056] Report(A000000[0200])","Entity[34056] Report(A000000[0300])","Entity[34056] Report(A000000[0400])","Entity[34056] Report(A000000[0500])","Entity[34056] Report(A000000[0600])", ,"Entity[34056] Report(A000000[0800])","Entity[34056] Report(A000000[0900])","Entity[34056] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATOR","38336", , , , ,"38336", ,"38336", ,"38336"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","217762","6324", , ,"304118","528204", ,"528204","466505","994709"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(01000)","1000INPATIENT-GENERAL CARE", ,"41525", , ,"72342","113867", ,"113867", ,"113867"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(01100)","1100INPATIENT-RESPITE CARE", , , , ,"3761","3761", ,"3761", ,"3761"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(01600)","1600NURSING CARE","496201","81852","40858", , ,"618911", ,"618911", ,"618911"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA","1525","252", , , ,"1777", ,"1777", ,"1777"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","71531","11800","4828", , ,"88159", ,"88159", ,"88159"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","55927","9226","6178", , ,"71331", ,"71331", ,"71331"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER", ,"21218","43554", , ,"64772", ,"64772", ,"64772"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA","128627", , , , ,"128627", ,"128627", ,"128627"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(02500)","2500OTHER", , , , ,"5767","5767", ,"5767", ,"5767"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"121453","121453", ,"121453", ,"121453"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"104723","104723", ,"104723", ,"104723"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , , ,"3237","3237", ,"3237", ,"3237"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"29891","29891", ,"29891", ,"29891"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(03900)","3900OTHER"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","15797","2606", , , ,"18403", ,"18403", ,"18403"
"HOSPC","hospc_2013_DATA",34056,"A000000","Line(05300)","5300OTHER PROGRAM COSTS", , , ,"437193", ,"437193", ,"437193","-437193"
"Entity[34056] Report(A100000)", , , , , , ,"Entity[34056] Report(A100000[0200])","Entity[34056] Report(A100000[0300])", ,"Entity[34056] Report(A100000[0500])", ,"Entity[34056] Report(A100000[0700])","Entity[34056] Report(A100000[0800])","Entity[34056] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34056,"A100000","Line(00500)", , , , , , , , ,"38336","38336"
"HOSPC","hospc_2013_DATA",34056,"A100000","Line(00600)", , , , , , , , ,"217762","217762"
"HOSPC","hospc_2013_DATA",34056,"A100000","Line(01600)", , ,"51227", , ,"444974", , , ,"496201"
"HOSPC","hospc_2013_DATA",34056,"A100000","Line(01620)", , , , , ,"1525", , , ,"1525"
"HOSPC","hospc_2013_DATA",34056,"A100000","Line(02000)", , , ,"71531", , , , , ,"71531"
"HOSPC","hospc_2013_DATA",34056,"A100000","Line(02100)", , , , , , , , ,"55927","55927"
"HOSPC","hospc_2013_DATA",34056,"A100000","Line(02420)", , , , , , , ,"128627", ,"128627"
"HOSPC","hospc_2013_DATA",34056,"A100000","Line(05000)", , , , , , , , ,"15797","15797"
"Entity[34056] Report(A200000)", , , , , , ,"Entity[34056] Report(A200000[0200])","Entity[34056] Report(A200000[0300])", ,"Entity[34056] Report(A200000[0500])", ,"Entity[34056] Report(A200000[0700])","Entity[34056] Report(A200000[0800])","Entity[34056] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34056,"A200000","Line(00600)", , , , , , , , ,"6324","6324"
"HOSPC","hospc_2013_DATA",34056,"A200000","Line(01000)", , , , , , , , ,"41525","41525"
"HOSPC","hospc_2013_DATA",34056,"A200000","Line(01600)", , ,"8450", , ,"73402", , , ,"81852"
"HOSPC","hospc_2013_DATA",34056,"A200000","Line(01620)", , , , , ,"252", , , ,"252"
"HOSPC","hospc_2013_DATA",34056,"A200000","Line(02000)", , , ,"11800", , , , , ,"11800"
"HOSPC","hospc_2013_DATA",34056,"A200000","Line(02100)", , , , , , , , ,"9226","9226"
"HOSPC","hospc_2013_DATA",34056,"A200000","Line(02400)", , , , , , , ,"21218", ,"21218"
"HOSPC","hospc_2013_DATA",34056,"A200000","Line(05000)", , , , , , , , ,"2606","2606"
"Entity[34056] Report(A300000)", , , , , , , , , , , , ,"Entity[34056] Report(A300000[0800])","Entity[34056] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34056,"A300000","Line(05300)", , , , , , , , ,"437193","437193"
"Entity[34056] Report(A800000)", , , , ,"Entity[34056] Report(A800000[0000])","Entity[34056] Report(A800000[0100])","Entity[34056] Report(A800000[0200])","Entity[34056] Report(A800000[0300])","Entity[34056] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34056,"A800000","Line(00300)", , ,"587654"
"HOSPC","hospc_2013_DATA",34056,"A800000","Line(00600)", ,"A","-6353","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34056,"A800000","Line(00802)","PROMOTIONAL ITEMS","A","-14459","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34056,"A800000","Line(00803)","SALES EXPENSE","A","-5045","ADMINISTRATIVE AND GENERAL","6"
