"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36371","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[36371] Report(S000000[0100])","Entity[36371] Report(S000000[0200])","Entity[36371] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",36371,"S000000","Line(00100)", ,"1","06/02/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36371","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[36371] Report(S100000[0100])","Entity[36371] Report(S100000[0200])","Entity[36371] Report(S100000[0300])","Entity[36371] Report(S100000[0400])","Entity[36371] Report(S100000[0500])","Entity[36371] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(00100)", ,"HOSPICE OF QUEEN ANNE S  INC.","255 COMET DRIVE","CENTREVILLE","MD","21617", , , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(00200)", ,"USA", , , , , , , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(00300)", ,"01/01/1985", , , , , , , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(00400)", ,"03/31/1994","05/20/2004", , , , , , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(00500)", ,"01/01/2013","12/31/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(00600)", ,"211529", , , , , , , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(00700)", ,"1", , , , , , , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(00800)", ,"5", , , , ,"5", , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(00900)", ,"9370","421","23", ,"988","10779", , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(01000)", ,"18", ,"13", , ,"18", , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(01100)", ,"152","14", , ,"55","221", , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(01200)", ,"9545","435","36", ,"1043","11023", , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(01300)", ,"212","5","1", ,"26","243", , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(01400)", ,"47", , , , ,"47", , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(01500)", ,"45","87","36", ,"40","45", , , , , , , , , 
"hospc_2013_DATA",36371,"S100000","Line(01600)", ,"184","4","4", ,"18","206", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
