"Entity[32352] Report(G000000)", , , , , ,"Entity[32352] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(00100)", ,"51105"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(01100)", ,"51105"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(02300)", ,"46092"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(02400)", ,"13600"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(02700)", ,"32492"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(02900)", ,"100"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(03000)", ,"64692"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(03100)", ,"15160"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(03200)", ,"79952"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(03300)", ,"163549"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(03500)", ,"143107"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(04200)", ,"143107"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(04400)", ,"90870"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(04900)", ,"90870"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(05000)", ,"233977"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(05100)", ,"-70428"
"HOSPC","hospc_2013_DATA",32352,"G000000","Line(05800)", ,"-70428"
"Entity[32352] Report(G100000)", , , , , ,"Entity[32352] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",32352,"G100000","Line(00100)", ,"-138504"
"HOSPC","hospc_2013_DATA",32352,"G100000","Line(00200)", ,"68076"
"HOSPC","hospc_2013_DATA",32352,"G100000","Line(00300)", ,"-70428"
"HOSPC","hospc_2013_DATA",32352,"G100000","Line(01100)", ,"-70428"
"Entity[32352] Report(G200001)", , , , , ,"Entity[32352] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",32352,"G200001","Line(00300)", ,"162764"
