"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32352"," Report G000000 ","-------------","-------------","-----------",""
"","Assets","General","Purpose","Endowment","Plant"
"","(Omit cents)","Fund","Fund","Fund","Fund"
"","","1","2","3","4"
"","CURRENT  ASSETS","","","",""
"Entity[32352] Report(G000000)", ,"Entity[32352] Report(G000000[0100])"
"Line(00100)", ,"51105"
"Line(01100)", ,"51105"
"Line(02300)", ,"46092"
"Line(02400)", ,"13600"
"Line(02700)", ,"32492"
"Line(02900)", ,"100"
"Line(03000)", ,"64692"
"Line(03100)", ,"15160"
"Line(03200)", ,"79952"
"Line(03300)", ,"163549"
"Line(03500)", ,"143107"
"Line(04200)", ,"143107"
"Line(04400)", ,"90870"
"Line(04900)", ,"90870"
"Line(05000)", ,"233977"
"Line(05100)", ,"-70428"
"Line(05800)", ,"-70428"
