"Entity[34086] Report(A000000)", , , , ,"Entity[34086] Report(A000000[0000])","Entity[34086] Report(A000000[0100])","Entity[34086] Report(A000000[0200])", ,"Entity[34086] Report(A000000[0400])","Entity[34086] Report(A000000[0500])","Entity[34086] Report(A000000[0600])", ,"Entity[34086] Report(A000000[0800])","Entity[34086] Report(A000000[0900])","Entity[34086] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"81511","81511", ,"81511", ,"81511"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","591155","267695", ,"214758","256328","1329936", ,"1329936","-26931","1303005"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"104031", ,"104031", ,"104031", ,"104031"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(01600)","1600NURSING CARE","115604","52350", , , ,"167954", ,"167954", ,"167954"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"2235", ,"2235", ,"2235", ,"2235"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES", , , ,"11200", ,"11200", ,"11200", ,"11200"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(02100)","2100SPIRITUAL COUNSELING", , , ,"6655", ,"6655", ,"6655", ,"6655"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(02500)","2500OTHER"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"155852","155852", ,"155852", ,"155852"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"27639","27639", ,"27639", ,"27639"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(03900)","3900OTHER"
"HOSPC","hospc_2013_DATA",34086,"A000000","Line(05300)","5300OTHER PROGRAM COSTS", , , , ,"92543","92543", ,"92543", ,"92543"
"Entity[34086] Report(A100000)", , , , , , , , , ,"Entity[34086] Report(A100000[0500])", , ,"Entity[34086] Report(A100000[0800])","Entity[34086] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34086,"A100000","Line(00600)", , , , , , , , ,"591155","591155"
"HOSPC","hospc_2013_DATA",34086,"A100000","Line(01600)", , , , , ,"115604", , , ,"115604"
"Entity[34086] Report(A200000)", , , , , , , , , ,"Entity[34086] Report(A200000[0500])", , ,"Entity[34086] Report(A200000[0800])","Entity[34086] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34086,"A200000","Line(00600)", , , , , , , , ,"267695","267695"
"HOSPC","hospc_2013_DATA",34086,"A200000","Line(01600)", , , , , ,"52350", , , ,"52350"
"Entity[34086] Report(A300000)", , , , , , ,"Entity[34086] Report(A300000[0200])","Entity[34086] Report(A300000[0300])", , ,"Entity[34086] Report(A300000[0600])", ,"Entity[34086] Report(A300000[0800])","Entity[34086] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34086,"A300000","Line(00600)", , , , , , , , ,"214758","214758"
"HOSPC","hospc_2013_DATA",34086,"A300000","Line(01500)", , ,"104031", , , , , , ,"104031"
"HOSPC","hospc_2013_DATA",34086,"A300000","Line(01700)", , , , , , ,"2235", , ,"2235"
"HOSPC","hospc_2013_DATA",34086,"A300000","Line(02000)", , , ,"11200", , , , , ,"11200"
"HOSPC","hospc_2013_DATA",34086,"A300000","Line(02100)", , , , , , , , ,"6655","6655"
"Entity[34086] Report(A700000)", , , , , ,"Entity[34086] Report(A700000[0100])","Entity[34086] Report(A700000[0200])", ,"Entity[34086] Report(A700000[0400])", ,"Entity[34086] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34086,"A700000","Line(00600)", ,"6960","12335", ,"12335", ,"19295"
"HOSPC","hospc_2013_DATA",34086,"A700000","Line(00700)", ,"6960","12335", ,"12335", ,"19295"
"Entity[34086] Report(A800000)", , , , ,"Entity[34086] Report(A800000[0000])","Entity[34086] Report(A800000[0100])","Entity[34086] Report(A800000[0200])","Entity[34086] Report(A800000[0300])","Entity[34086] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34086,"A800000","Line(00801)","6500-ADVERTISING  PROMOTION","A","-6428","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34086,"A800000","Line(00802)","7650-DONATION","A","-5060","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34086,"A800000","Line(00803)","9350-TAXES","A","-9793","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34086,"A800000","Line(00804)","7410-COMMUNITY LIAISON","A","-5650","ADMINISTRATIVE AND GENERAL","6"
