"Entity[34095] Report(A000000)", , , , ,"Entity[34095] Report(A000000[0000])","Entity[34095] Report(A000000[0100])","Entity[34095] Report(A000000[0200])","Entity[34095] Report(A000000[0300])","Entity[34095] Report(A000000[0400])","Entity[34095] Report(A000000[0500])","Entity[34095] Report(A000000[0600])", ,"Entity[34095] Report(A000000[0800])","Entity[34095] Report(A000000[0900])","Entity[34095] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"329249","329249", ,"329249", ,"329249"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"251498","251498", ,"251498", ,"251498"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"272231","272231", ,"272231", ,"272231"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","152927","41911","3515", ,"10893","209246", ,"209246", ,"209246"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","1490112","276448","24033", ,"292869","2083462", ,"2083462", ,"2083462"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , ,"721559", ,"721559", ,"721559", ,"721559"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , ,"5870", ,"5870", ,"5870", ,"5870"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(01500)","1500PHYSICIAN SERVICES","238580","65427","4361","84249","35474","428091", ,"428091", ,"428091"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(01600)","1600NURSING CARE","3974102","856526","311197", ,"115018","5256843", ,"5256843", ,"5256843"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"2449", ,"2449", ,"2449", ,"2449"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","561975","97640","52950", ,"8657","721222", ,"721222", ,"721222"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(02100)","2100SPIRITUAL COUNSELING"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(02200)","2200DIETARY COUNSELING","479","37", , , ,"516", ,"516", ,"516"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(02300)","2300COUNSELING-OTHER","118273","18463","14607", ,"3236","154579", ,"154579", ,"154579"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","590627","177086","165519", , ,"933232", ,"933232", ,"933232"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"998891","998891", ,"998891", ,"998891"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"566579","566579", ,"566579", ,"566579"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , , ,"41016","41016", ,"41016", ,"41016"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03300)","3300IMAGING SERVICES", , , , ,"4486","4486", ,"4486", ,"4486"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"5775","5775", ,"5775", ,"5775"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"229824","229824", ,"229824", ,"229824"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , , ,"11394","11394", ,"11394", ,"11394"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , , ,"23484","23484", ,"23484", ,"23484"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","99032","22147","3275", ,"26364","150818", ,"150818", ,"150818"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(05200)","5200FUNDRAISING", , , , ,"80378","80378", ,"80378", ,"80378"
"HOSPC","hospc_2013_DATA",34095,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","578402","76417","13596","1072039","201535","1941989", ,"1941989","-1111795","830194"
"Entity[34095] Report(A100000)", , , , , ,"Entity[34095] Report(A100000[0100])","Entity[34095] Report(A100000[0200])","Entity[34095] Report(A100000[0300])","Entity[34095] Report(A100000[0400])","Entity[34095] Report(A100000[0500])", ,"Entity[34095] Report(A100000[0700])","Entity[34095] Report(A100000[0800])","Entity[34095] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34095,"A100000","Line(00500)", , , , , , , , ,"152927","152927"
"HOSPC","hospc_2013_DATA",34095,"A100000","Line(00600)", ,"212712","104237", , , , , ,"1173163","1490112"
"HOSPC","hospc_2013_DATA",34095,"A100000","Line(01500)", , ,"238580", , , , , , ,"238580"
"HOSPC","hospc_2013_DATA",34095,"A100000","Line(01600)", , ,"86260", ,"217240","3670602", , , ,"3974102"
"HOSPC","hospc_2013_DATA",34095,"A100000","Line(02000)", , , ,"561975", , , , , ,"561975"
"HOSPC","hospc_2013_DATA",34095,"A100000","Line(02200)", , , , , , , , ,"479","479"
"HOSPC","hospc_2013_DATA",34095,"A100000","Line(02300)", , , , , , , , ,"118273","118273"
"HOSPC","hospc_2013_DATA",34095,"A100000","Line(02400)", , , , , , , ,"590627", ,"590627"
"HOSPC","hospc_2013_DATA",34095,"A100000","Line(05000)", , , , , , , , ,"99032","99032"
"HOSPC","hospc_2013_DATA",34095,"A100000","Line(05300)", , , , , , , , ,"578402","578402"
"Entity[34095] Report(A200000)", , , , , ,"Entity[34095] Report(A200000[0100])","Entity[34095] Report(A200000[0200])","Entity[34095] Report(A200000[0300])","Entity[34095] Report(A200000[0400])","Entity[34095] Report(A200000[0500])", ,"Entity[34095] Report(A200000[0700])","Entity[34095] Report(A200000[0800])","Entity[34095] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34095,"A200000","Line(00500)", , , , , , , , ,"41911","41911"
"HOSPC","hospc_2013_DATA",34095,"A200000","Line(00600)", ,"31792","22407", , , , , ,"222249","276448"
"HOSPC","hospc_2013_DATA",34095,"A200000","Line(01500)", , ,"65427", , , , , , ,"65427"
"HOSPC","hospc_2013_DATA",34095,"A200000","Line(01600)", , ,"25393", ,"33518","797615", , , ,"856526"
"HOSPC","hospc_2013_DATA",34095,"A200000","Line(02000)", , , ,"97640", , , , , ,"97640"
"HOSPC","hospc_2013_DATA",34095,"A200000","Line(02200)", , , , , , , , ,"37","37"
"HOSPC","hospc_2013_DATA",34095,"A200000","Line(02300)", , , , , , , , ,"18463","18463"
"HOSPC","hospc_2013_DATA",34095,"A200000","Line(02400)", , , , , , , ,"177086", ,"177086"
"HOSPC","hospc_2013_DATA",34095,"A200000","Line(05000)", , , , , , , , ,"22147","22147"
"HOSPC","hospc_2013_DATA",34095,"A200000","Line(05300)", , , , , , , , ,"76417","76417"
"Entity[34095] Report(A300000)", , , , , , ,"Entity[34095] Report(A300000[0200])", , , ,"Entity[34095] Report(A300000[0600])", ,"Entity[34095] Report(A300000[0800])","Entity[34095] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34095,"A300000","Line(01000)", , , , , , , , ,"721559","721559"
"HOSPC","hospc_2013_DATA",34095,"A300000","Line(01100)", , , , , , , , ,"5870","5870"
"HOSPC","hospc_2013_DATA",34095,"A300000","Line(01500)", , ,"84249", , , , , , ,"84249"
"HOSPC","hospc_2013_DATA",34095,"A300000","Line(01700)", , , , , , ,"2449", , ,"2449"
"HOSPC","hospc_2013_DATA",34095,"A300000","Line(05300)", , , , , , , , ,"1072039","1072039"
"Entity[34095] Report(A700000)", , , , , ,"Entity[34095] Report(A700000[0100])","Entity[34095] Report(A700000[0200])", ,"Entity[34095] Report(A700000[0400])","Entity[34095] Report(A700000[0500])","Entity[34095] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34095,"A700000","Line(00100)", ,"1101921", , , , ,"1101921"
"HOSPC","hospc_2013_DATA",34095,"A700000","Line(00300)", ,"7794981","23446", ,"23446","29992","7788435"
"HOSPC","hospc_2013_DATA",34095,"A700000","Line(00500)", ,"2554065","150182", ,"150182","287364","2416883"
"HOSPC","hospc_2013_DATA",34095,"A700000","Line(00700)", ,"11450967","173628", ,"173628","317356","11307239"
"Entity[34095] Report(A800000)", , , , ,"Entity[34095] Report(A800000[0000])","Entity[34095] Report(A800000[0100])","Entity[34095] Report(A800000[0200])","Entity[34095] Report(A800000[0300])","Entity[34095] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34095,"A800000","Line(00600)", ,"A","-39756","OTHER NONREIMBURSABLE COSTS","53"
"HOSPC","hospc_2013_DATA",34095,"A800000","Line(00800)","MISCELLANEOUS ADJUSTMENTS","A","-1072039","OTHER NONREIMBURSABLE COSTS","53"
