"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36809","G000000 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"","Assets","General","Purpose","Endowment","Plant", , 
"-------------","-------------","-------------", ,"","(Omit cents)","Fund","Fund","Fund","Fund", , 
"-------------","-------------","-------------", ,"","","1","2","3","4", , 
"-------------","-------------","-------------", ,"","CURRENT  ASSETS","","","","", , 
 , , , , , , , , , , , 
"Entity[36809] Report(G000000)", , , , , ,"Entity[36809] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(00100)", ,"1528798"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(00200)", ,"573633"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(00400)", ,"2429272"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(00600)", ,"280027"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(00700)", ,"2232"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(00800)", ,"8795"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(00900)", ,"21659"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(01000)", ,"4427229"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(01100)", ,"8711591"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(01200)", ,"2821930"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(01500)", ,"33294"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(01600)", ,"898198"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(01700)", ,"888331"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(01800)", ,"641735"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(02300)", ,"915018"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(02400)", ,"604671"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(02700)", ,"2513969"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(03100)", ,"79250"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(03200)", ,"79250"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(03300)", ,"11304810"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(03400)", ,"152208"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(03500)", ,"2657615"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(03800)", ,"74608"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(04100)", ,"435666"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(04200)", ,"3320097"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(04300)", ,"2011079"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(04620)", ,"215000"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(04900)", ,"2226079"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(05000)", ,"5546176"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(05100)", ,"5510299"
"HOSPC","hospc_2013_DATA",36809,"G000000","Line(05800)", ,"5510299"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36809","G100000 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"","","","GENERAL ","SPECIFIC ","ENDOWMENT","PLANT  FUND", 
"-------------","-------------","-------------", ,"","","","FUND","PURPOSE  FUND","FUND","", 
"-------------","-------------","-------------", ,"","","","1","2","3","4", 
 , , , , , , , , , , , 
"Entity[36809] Report(G100000)", , , , ,"Entity[36809] Report(G100000[0000])","Entity[36809] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",36809,"G100000","Line(00100)", ,"4116472"
"HOSPC","hospc_2013_DATA",36809,"G100000","Line(00300)", ,"4116472"
"HOSPC","hospc_2013_DATA",36809,"G100000","Line(00400)","CAPITAL INVESTMENT","1393827"
"HOSPC","hospc_2013_DATA",36809,"G100000","Line(01000)", ,"1393827"
"HOSPC","hospc_2013_DATA",36809,"G100000","Line(01100)", ,"5510299"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36809","G200002 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"","PART II - OPERATING EXPENSES", , , , , , 
 , , , , , , , , , , , 
"Entity[36809] Report(G200002)", , , , ,"Entity[36809] Report(G200002[0000])","Entity[36809] Report(G200002[0100])","Entity[36809] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",36809,"G200002","Line(01000)","PATIENT REVENUE","8082405"
"HOSPC","hospc_2013_DATA",36809,"G200002","Line(01100)","CONTRIBUTIONS","9550147"
"HOSPC","hospc_2013_DATA",36809,"G200002","Line(01200)","INVESTMENTS","883"
"HOSPC","hospc_2013_DATA",36809,"G200002","Line(01300)","OTHER REVENUE","328777"
"HOSPC","hospc_2013_DATA",36809,"G200002","Line(01500)", , ,"-248335"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
