"Entity[33948] Report(A000000)", , , , ,"Entity[33948] Report(A000000[0000])","Entity[33948] Report(A000000[0100])","Entity[33948] Report(A000000[0200])","Entity[33948] Report(A000000[0300])","Entity[33948] Report(A000000[0400])","Entity[33948] Report(A000000[0500])","Entity[33948] Report(A000000[0600])", ,"Entity[33948] Report(A000000[0800])","Entity[33948] Report(A000000[0900])","Entity[33948] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"37584","37584", ,"37584","-1682","35902"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"5963","5963", ,"5963", ,"5963"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"885","885", ,"885", ,"885"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","443332","66195","82704","165","232132","824528", ,"824528","1256","825784"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"12409", ,"12409", ,"12409", ,"12409"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(01600)","1600NURSING CARE","302688","45206", , , ,"347894", ,"347894", ,"347894"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(01700)","1700PHYSICAL THERAPY","310","46", , , ,"356", ,"356", ,"356"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","77104","11515", , , ,"88619", ,"88619", ,"88619"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","55148","8236", , , ,"63384", ,"63384", ,"63384"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"68267","68267", ,"68267", ,"68267"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"69930","69930", ,"69930", ,"69930"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"60585","60585", ,"60585", ,"60585"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33948,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","6815","1034", , , ,"7849", ,"7849", ,"7849"
"Entity[33948] Report(A100000)", , , , , ,"Entity[33948] Report(A100000[0100])","Entity[33948] Report(A100000[0200])","Entity[33948] Report(A100000[0300])","Entity[33948] Report(A100000[0400])","Entity[33948] Report(A100000[0500])","Entity[33948] Report(A100000[0600])","Entity[33948] Report(A100000[0700])","Entity[33948] Report(A100000[0800])","Entity[33948] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33948,"A100000","Line(00600)", ,"84658","85488", ,"16297", , , ,"256889","443332"
"HOSPC","hospc_2013_DATA",33948,"A100000","Line(01600)", , , , , ,"302688", , , ,"302688"
"HOSPC","hospc_2013_DATA",33948,"A100000","Line(01700)", , , , , , ,"310", , ,"310"
"HOSPC","hospc_2013_DATA",33948,"A100000","Line(02000)", , , ,"77104", , , , , ,"77104"
"HOSPC","hospc_2013_DATA",33948,"A100000","Line(02400)", , , , , , , ,"55148", ,"55148"
"HOSPC","hospc_2013_DATA",33948,"A100000","Line(05300)", , , , , , , , ,"6815","6815"
"Entity[33948] Report(A200000)", , , , , ,"Entity[33948] Report(A200000[0100])","Entity[33948] Report(A200000[0200])","Entity[33948] Report(A200000[0300])","Entity[33948] Report(A200000[0400])","Entity[33948] Report(A200000[0500])","Entity[33948] Report(A200000[0600])","Entity[33948] Report(A200000[0700])","Entity[33948] Report(A200000[0800])","Entity[33948] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33948,"A200000","Line(00600)", ,"12643","12767", ,"2434", , , ,"38351","66195"
"HOSPC","hospc_2013_DATA",33948,"A200000","Line(01600)", , , , , ,"45206", , , ,"45206"
"HOSPC","hospc_2013_DATA",33948,"A200000","Line(01700)", , , , , , ,"46", , ,"46"
"HOSPC","hospc_2013_DATA",33948,"A200000","Line(02000)", , , ,"11515", , , , , ,"11515"
"HOSPC","hospc_2013_DATA",33948,"A200000","Line(02400)", , , , , , , ,"8236", ,"8236"
"HOSPC","hospc_2013_DATA",33948,"A200000","Line(05300)", , , , , , , , ,"1034","1034"
"Entity[33948] Report(A300000)", , , , , , , , , , , , ,"Entity[33948] Report(A300000[0800])","Entity[33948] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33948,"A300000","Line(00600)", , , , , , , , ,"165","165"
"HOSPC","hospc_2013_DATA",33948,"A300000","Line(01500)", , , , , , , , ,"12409","12409"
"Entity[33948] Report(A800000)", , , , , , ,"Entity[33948] Report(A800000[0200])"
"HOSPC","hospc_2013_DATA",33948,"A800000","Line(00300)", , ,"-426"
"Entity[33948] Report(A81000A)", , , , , ,"Entity[33948] Report(A81000A[0100])","Entity[33948] Report(A81000A[0200])","Entity[33948] Report(A81000A[0300])","Entity[33948] Report(A81000A[0400])","Entity[33948] Report(A81000A[0500])","Entity[33948] Report(A81000A[0600])"
"HOSPC","hospc_2013_DATA",33948,"A81000A","Line(00100)", ,"1","CAPITAL REL COSTS-BLDG & FIXT","RENT EXPENSE","1918","3600","-1682"
"HOSPC","hospc_2013_DATA",33948,"A81000A","Line(00200)", ,"35","MED SUPPLIES CHARGED TO PATIENTS","SUPPLIES","69930","69930"
"HOSPC","hospc_2013_DATA",33948,"A81000A","Line(00300)", ,"6","ADMINISTRATIVE AND GENERAL","HOME OFFICE COSTS","136256","135000","1256"
"Entity[33948] Report(A81000B)", , , , , ,"Entity[33948] Report(A81000B[0100])","Entity[33948] Report(A81000B[0200])", ,"Entity[33948] Report(A81000B[0400])","Entity[33948] Report(A81000B[0500])","Entity[33948] Report(A81000B[0600])"
"HOSPC","hospc_2013_DATA",33948,"A81000B","Line(00100)", ,"B","HARDMAN YOUNG", ,"HARDMAN YOUNG", ,"REAL ESTATE"
"HOSPC","hospc_2013_DATA",33948,"A81000B","Line(00200)", ,"B","MSA  INC", ,"MSA  INC","100","SUPPLIES  DME"
