"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36413","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[36413] Report(S000000[0100])","Entity[36413] Report(S000000[0200])","Entity[36413] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",36413,"S000000","Line(00100)", ,"1","06/06/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36413","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[36413] Report(S100000[0100])","Entity[36413] Report(S100000[0200])","Entity[36413] Report(S100000[0300])","Entity[36413] Report(S100000[0400])","Entity[36413] Report(S100000[0500])","Entity[36413] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(00100)", ,"DIXIE HOSPICE CARE","352 EAST RIVERSIDE DRIVE  STE B3B","ST. GEORGE","UT","84790", , , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(00200)", ,"WASHINGTON", , , , , , , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(00300)", ,"10/13/2011", , , , , , , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(00400)", ,"10/18/2011","10/18/2011", , , , , , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(00500)", ,"01/01/2013","12/31/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(00600)", ,"461589", , , , , , , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(00700)", ,"5", , , , , , , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(00800)", ,"7", , , , ,"7", , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(00900)", ,"9653","178","1558", ,"220","10051", , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(01000)", ,"34", ,"34", , ,"34", , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(01100)", ,"11", ,"11", , ,"11", , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(01200)", ,"9705","178","1603", ,"220","10103", , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(01300)", ,"136","2","25", ,"7","145", , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(01400)", ,"162", , , , ,"162", , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(01500)", ,"71","89","64", ,"31","70", , , , , , , , , 
"hospc_2013_DATA",36413,"S100000","Line(01600)", ,"136","2","25", ,"7","145", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
