"Entity[33884] Report(A000000)", , , , ,"Entity[33884] Report(A000000[0000])","Entity[33884] Report(A000000[0100])","Entity[33884] Report(A000000[0200])","Entity[33884] Report(A000000[0300])","Entity[33884] Report(A000000[0400])","Entity[33884] Report(A000000[0500])","Entity[33884] Report(A000000[0600])", ,"Entity[33884] Report(A000000[0800])","Entity[33884] Report(A000000[0900])","Entity[33884] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"32810","32810", ,"32810", ,"32810"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"20380","20380", ,"20380", ,"20380"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"11820","11820", ,"11820", ,"11820"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","41559","14416", , ,"2753","58728", ,"58728", ,"58728"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","255401","80223","26408","30044","540858","932934", ,"932934","86943","1019877"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , ,"3789", ,"3789", ,"3789", ,"3789"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , ,"45257", ,"45257", ,"45257", ,"45257"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"28000", ,"28000", ,"28000", ,"28000"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(01600)","1600NURSING CARE","650855","141844","43262", , ,"835961", ,"835961", ,"835961"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(01700)","1700PHYSICAL THERAPY"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","93602","26459","10073", , ,"130134", ,"130134", ,"130134"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","33307","10461","4972", , ,"48740", ,"48740", ,"48740"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","84667","37814","19886", , ,"142367", ,"142367", ,"142367"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"73909","73909", ,"73909", ,"73909"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"154076","154076", ,"154076", ,"154076"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , , ,"4454","4454", ,"4454", ,"4454"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"57","57", ,"57", ,"57"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"27356","27356", ,"27356", ,"27356"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","30929","10547","4972", ,"107","46555", ,"46555", ,"46555"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",33884,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS", , , , ,"8277","8277", ,"8277", ,"8277"
"Entity[33884] Report(A100000)", , , , , , , ,"Entity[33884] Report(A100000[0300])","Entity[33884] Report(A100000[0400])","Entity[33884] Report(A100000[0500])", ,"Entity[33884] Report(A100000[0700])","Entity[33884] Report(A100000[0800])","Entity[33884] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33884,"A100000","Line(00500)", , , , , , , , ,"41559","41559"
"HOSPC","hospc_2013_DATA",33884,"A100000","Line(00600)", , , , ,"131830", , , ,"123571","255401"
"HOSPC","hospc_2013_DATA",33884,"A100000","Line(01600)", , , , , ,"650855", , , ,"650855"
"HOSPC","hospc_2013_DATA",33884,"A100000","Line(02000)", , , ,"93602", , , , , ,"93602"
"HOSPC","hospc_2013_DATA",33884,"A100000","Line(02100)", , , , , , , , ,"33307","33307"
"HOSPC","hospc_2013_DATA",33884,"A100000","Line(02400)", , , , , , , ,"84667", ,"84667"
"HOSPC","hospc_2013_DATA",33884,"A100000","Line(05000)", , , , , , , , ,"30929","30929"
"Entity[33884] Report(A200000)", , , , , , , ,"Entity[33884] Report(A200000[0300])","Entity[33884] Report(A200000[0400])","Entity[33884] Report(A200000[0500])", ,"Entity[33884] Report(A200000[0700])","Entity[33884] Report(A200000[0800])","Entity[33884] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33884,"A200000","Line(00500)", , , , , , , , ,"14416","14416"
"HOSPC","hospc_2013_DATA",33884,"A200000","Line(00600)", , , , ,"29636", , , ,"50587","80223"
"HOSPC","hospc_2013_DATA",33884,"A200000","Line(01600)", , , , , ,"141844", , , ,"141844"
"HOSPC","hospc_2013_DATA",33884,"A200000","Line(02000)", , , ,"26459", , , , , ,"26459"
"HOSPC","hospc_2013_DATA",33884,"A200000","Line(02100)", , , , , , , , ,"10461","10461"
"HOSPC","hospc_2013_DATA",33884,"A200000","Line(02400)", , , , , , , ,"37814", ,"37814"
"HOSPC","hospc_2013_DATA",33884,"A200000","Line(05000)", , , , , , , , ,"10547","10547"
"Entity[33884] Report(A300000)", , , , , , , , , , , , ,"Entity[33884] Report(A300000[0800])","Entity[33884] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33884,"A300000","Line(00600)", , , , , , , , ,"30044","30044"
"HOSPC","hospc_2013_DATA",33884,"A300000","Line(01000)", , , , , , , , ,"3789","3789"
"HOSPC","hospc_2013_DATA",33884,"A300000","Line(01100)", , , , , , , , ,"45257","45257"
"HOSPC","hospc_2013_DATA",33884,"A300000","Line(01500)", , , , , , , , ,"28000","28000"
"Entity[33884] Report(A700000)", , , , , ,"Entity[33884] Report(A700000[0100])","Entity[33884] Report(A700000[0200])", ,"Entity[33884] Report(A700000[0400])", ,"Entity[33884] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33884,"A700000","Line(00300)", ,"18974","12835", ,"12835", ,"31809"
"HOSPC","hospc_2013_DATA",33884,"A700000","Line(00600)", ,"425836","43474", ,"43474", ,"469310"
"HOSPC","hospc_2013_DATA",33884,"A700000","Line(00700)", ,"444810","56309", ,"56309", ,"501119"
"Entity[33884] Report(A800000)", , , , , , ,"Entity[33884] Report(A800000[0200])"
"HOSPC","hospc_2013_DATA",33884,"A800000","Line(00300)", , ,"86943"
"Entity[33884] Report(A81000A)", , , , , ,"Entity[33884] Report(A81000A[0100])","Entity[33884] Report(A81000A[0200])","Entity[33884] Report(A81000A[0300])","Entity[33884] Report(A81000A[0400])","Entity[33884] Report(A81000A[0500])","Entity[33884] Report(A81000A[0600])"
"HOSPC","hospc_2013_DATA",33884,"A81000A","Line(00100)", ,"6","ADMINISTRATIVE AND GENERAL","ADMINISTRATIVE & GENERAL","777418","690475","86943"
"Entity[33884] Report(A81000B)", , , , , ,"Entity[33884] Report(A81000B[0100])","Entity[33884] Report(A81000B[0200])", ,"Entity[33884] Report(A81000B[0400])","Entity[33884] Report(A81000B[0500])","Entity[33884] Report(A81000B[0600])"
