"Entity[33882] Report(A000000)", , , , ,"Entity[33882] Report(A000000[0000])","Entity[33882] Report(A000000[0100])","Entity[33882] Report(A000000[0200])","Entity[33882] Report(A000000[0300])","Entity[33882] Report(A000000[0400])","Entity[33882] Report(A000000[0500])","Entity[33882] Report(A000000[0600])","Entity[33882] Report(A000000[0700])","Entity[33882] Report(A000000[0800])","Entity[33882] Report(A000000[0900])","Entity[33882] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"1969964","1969964", ,"1969964", ,"1969964"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"2252566","2252566", ,"2252566", ,"2252566"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"1713165","1713165", ,"1713165", ,"1713165"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","445580","110154","13257", ,"42437","611428", ,"611428", ,"611428"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","4927338","1019472","71400","9638","16396025","22423873","-987","22422886", ,"22422886"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","7579370","1636139","11391","3522049","5716787","18465736", ,"18465736", ,"18465736"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , ,"166856", ,"166856", ,"166856", ,"166856"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"92403","2927859","3020262", ,"3020262", ,"3020262"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(01600)","1600NURSING CARE","12094285","2441051","550783","46608","19666","15152393", ,"15152393", ,"15152393"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C","5301158","1097930","32571","2393238","2302","8827199", ,"8827199", ,"8827199"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"21864", ,"21864", ,"21864", ,"21864"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"8622", ,"8622", ,"8622", ,"8622"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"2999", ,"2999", ,"2999", ,"2999"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","1585551","370286","86204", , ,"2042041", ,"2042041", ,"2042041"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","834478","192474","47479", , ,"1074431", ,"1074431", ,"1074431"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","2911279","985104","158081", , ,"4054464", ,"4054464", ,"4054464"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME","235869","72200","1395", , ,"309464", ,"309464", ,"309464"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION","1820370","351713","19992","2502554","56894","4751523", ,"4751523", ,"4751523"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"116829","2230561","2347390", ,"2347390", ,"2347390"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"238388", ,"238388", ,"238388", ,"238388"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"102514", ,"102514", ,"102514", ,"102514"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"1510106","224449","1734555", ,"1734555", ,"1734555"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","1213560","287082","74580","3300","47769","1626291", ,"1626291", ,"1626291"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , ,"34052","34052", ,"34052", ,"34052"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",33882,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS", , , ,"15108570","3602860","18711430","987","18712417","-14333343","4379074"
"Entity[33882] Report(A100000)", , , , , , ,"Entity[33882] Report(A100000[0200])","Entity[33882] Report(A100000[0300])","Entity[33882] Report(A100000[0400])","Entity[33882] Report(A100000[0500])","Entity[33882] Report(A100000[0600])","Entity[33882] Report(A100000[0700])","Entity[33882] Report(A100000[0800])","Entity[33882] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(00500)", , ,"100824", ,"59061", , , ,"285695","445580"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(00600)", , ,"506731", ,"2406035", , , ,"2014572","4927338"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(01000)", , , ,"364924","597859","4710419", ,"1052607","853561","7579370"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(01600)", , , , , ,"11167103", , ,"927182","12094285"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(01620)", , , , , ,"5181947", , ,"119211","5301158"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(02000)", , , ,"1585551", , , , , ,"1585551"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(02100)", , , , , , , , ,"834478","834478"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(02400)", , , , , , , ,"2911279", ,"2911279"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(02420)", , , , , , , ,"235869", ,"235869"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(03000)", , ,"187968", ,"48937", , , ,"1583465","1820370"
"HOSPC","hospc_2013_DATA",33882,"A100000","Line(05000)", , ,"88877", ,"147931", ,"554286", ,"422466","1213560"
"Entity[33882] Report(A200000)", , , , , , ,"Entity[33882] Report(A200000[0200])","Entity[33882] Report(A200000[0300])","Entity[33882] Report(A200000[0400])","Entity[33882] Report(A200000[0500])","Entity[33882] Report(A200000[0600])","Entity[33882] Report(A200000[0700])","Entity[33882] Report(A200000[0800])","Entity[33882] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(00500)", , ,"17657", ,"13027", , , ,"79470","110154"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(00600)", , ,"76248", ,"465749", , , ,"477475","1019472"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(01000)", , , ,"82087","114668","910992", ,"316643","211749","1636139"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(01600)", , , , , ,"2238291", , ,"202760","2441051"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(01620)", , , , , ,"1081403", , ,"16527","1097930"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(02000)", , , ,"370286", , , , , ,"370286"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(02100)", , , , , , , , ,"192474","192474"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(02400)", , , , , , , ,"985104", ,"985104"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(02420)", , , , , , , ,"72200", ,"72200"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(03000)", , ,"23282", ,"12105", , , ,"316326","351713"
"HOSPC","hospc_2013_DATA",33882,"A200000","Line(05000)", , ,"14406", ,"29019", ,"142788", ,"100869","287082"
"Entity[33882] Report(A300000)", , , , , , , , , ,"Entity[33882] Report(A300000[0500])","Entity[33882] Report(A300000[0600])","Entity[33882] Report(A300000[0700])","Entity[33882] Report(A300000[0800])","Entity[33882] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(00600)", , , , , , , , ,"9638","9638"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(01000)", , , , , , ,"8890","336","3512823","3522049"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(01100)", , , , , , , , ,"166856","166856"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(01500)", , , , , , , , ,"92403","92403"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(01600)", , , , , , , , ,"46608","46608"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(01620)", , , , , ,"2393238", , , ,"2393238"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(01700)", , , , , , ,"21864", , ,"21864"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(01800)", , , , , , ,"8622", , ,"8622"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(01900)", , , , , , ,"2999", , ,"2999"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(03000)", , , , , , , , ,"2502554","2502554"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(03100)", , , , , , , , ,"116829","116829"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(03200)", , , , , , , , ,"238388","238388"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(03400)", , , , , , , , ,"102514","102514"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(03500)", , , , , , , , ,"1510106","1510106"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(05000)", , , , , , , , ,"3300","3300"
"HOSPC","hospc_2013_DATA",33882,"A300000","Line(05300)", , , , , , , , ,"15108570","15108570"
"Entity[33882] Report(A600010)", , , , ,"Entity[33882] Report(A600010[0000])","Entity[33882] Report(A600010[0100])","Entity[33882] Report(A600010[0200])","Entity[33882] Report(A600010[0300])", ,"Entity[33882] Report(A600010[0500])","Entity[33882] Report(A600010[0600])","Entity[33882] Report(A600010[0700])", ,"Entity[33882] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",33882,"A600010","Line(00100)","NHPCO","A","OTHER NONREIMBURSABLE COSTS","53", ,"987","ADMINISTRATIVE AND GENERAL","6", ,"987"
"Entity[33882] Report(A700000)", , , , , ,"Entity[33882] Report(A700000[0100])","Entity[33882] Report(A700000[0200])", ,"Entity[33882] Report(A700000[0400])", ,"Entity[33882] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33882,"A700000","Line(00100)", ,"2000734", , , , ,"2000734"
"HOSPC","hospc_2013_DATA",33882,"A700000","Line(00200)", ,"271477", , , , ,"271477"
"HOSPC","hospc_2013_DATA",33882,"A700000","Line(00300)", ,"18695445","192561", ,"192561", ,"18888006"
"HOSPC","hospc_2013_DATA",33882,"A700000","Line(00400)", ,"2922231","182250", ,"182250", ,"3104481"
"HOSPC","hospc_2013_DATA",33882,"A700000","Line(00600)", ,"19790344","1560699", ,"1560699", ,"21351043"
"HOSPC","hospc_2013_DATA",33882,"A700000","Line(00700)", ,"43680231","1935510", ,"1935510", ,"45615741"
