"Entity[33967] Report(A000000)", , , , ,"Entity[33967] Report(A000000[0000])","Entity[33967] Report(A000000[0100])","Entity[33967] Report(A000000[0200])","Entity[33967] Report(A000000[0300])","Entity[33967] Report(A000000[0400])","Entity[33967] Report(A000000[0500])","Entity[33967] Report(A000000[0600])","Entity[33967] Report(A000000[0700])","Entity[33967] Report(A000000[0800])","Entity[33967] Report(A000000[0900])","Entity[33967] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(00100)","0100CAP REL COSTS-BLDG & FIXT", , , , ,"61003","61003", ,"61003", ,"61003"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(00200)","0200CAP REL COSTS-MVBLE EQUIP", , , , ,"45548","45548", ,"45548", ,"45548"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"40363","40363", ,"40363", ,"40363"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(00400)","0400TRANSPORTATION-STAFF", , ,"68924", , ,"68924", ,"68924", ,"68924"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(00500)","0500VOLUNTEER SERVICES","45315","5478","79", , ,"50872", ,"50872", ,"50872"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(00600)","0600ADMINISTRATIVE & GENERAL","493336","59639","1070","12386","239268","805699","-825","804874","-279","804595"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(01000)","1000INPATIENT-GENERAL CARE", , , ,"2369", ,"2369", ,"2369", ,"2369"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(01100)","1100INPATIENT-RESPITE CARE", , , ,"4988", ,"4988", ,"4988", ,"4988"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"31348","830","32178", ,"32178", ,"32178"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(01600)","1600NURSING CARE","2570093","310695","44679", ,"7719","2933186", ,"2933186", ,"2933186"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C","324","39","33", , ,"396", ,"396", ,"396"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"307", ,"307", ,"307", ,"307"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"6005", ,"6005", ,"6005", ,"6005"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , ,"18", ,"115","133", ,"133", ,"133"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","420134","50789","16221", ,"1741","488885", ,"488885", ,"488885"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","91550","11067","4169", ,"43","106829", ,"106829", ,"106829"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(02200)","2200DIETARY COUNSELING","2388","289","90", ,"120","2887", ,"2887", ,"2887"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","202389","24467","8128", ,"1341","236325", ,"236325", ,"236325"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(02500)","2500OTHER VISITING SERVICES","52223","6314","3440", ,"1069","63046", ,"63046", ,"63046"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03000)","3000DRUGS BIOLOGICAL AND INFUSION", , , ,"540109", ,"540109", ,"540109", ,"540109"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03030)","3030ANALGESICS", , , ,"139802", ,"139802", ,"139802", ,"139802"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , ,"60831", ,"60831", ,"60831", ,"60831"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"259222", ,"259222", ,"259222", ,"259222"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"4826", ,"4826", ,"4826", ,"4826"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"5796", ,"5796", ,"5796", ,"5796"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"14498", ,"14498", ,"14498", ,"14498"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENT", , , ,"34159", ,"34159", ,"34159", ,"34159"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INC E/R DEP", , , ,"47372", ,"47372", ,"47372", ,"47372"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03700)","3700RADIATION THERAPY", , , ,"9279", ,"9279", ,"9279", ,"9279"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03800)","3800CHEMOTHERAPY", , , ,"57101", ,"57101", ,"57101", ,"57101"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"26874", ,"26874", ,"26874", ,"26874"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","62611","7569","86", ,"2409","72675", ,"72675", ,"72675"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COST", , , , ,"2086","2086", ,"2086", ,"2086"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(05200)","5200FUNDRAISING","23852","2883","78", ,"37464","64277", ,"64277", ,"64277"
"HOSPC","hospc_2013_DATA",33967,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","61146","7392","508","1060348","30813","1160207","825","1161032","-1060348","100684"
"Entity[33967] Report(A100000)", , , , , ,"Entity[33967] Report(A100000[0100])","Entity[33967] Report(A100000[0200])","Entity[33967] Report(A100000[0300])","Entity[33967] Report(A100000[0400])","Entity[33967] Report(A100000[0500])","Entity[33967] Report(A100000[0600])","Entity[33967] Report(A100000[0700])","Entity[33967] Report(A100000[0800])","Entity[33967] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(00500)", , ,"8944", , , , , ,"36371","45315"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(00600)", ,"101801","70173", , , , , ,"321362","493336"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(01600)", , ,"114496", ,"185081","2270516", , , ,"2570093"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(01620)", , , , , ,"324", , , ,"324"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(02000)", , ,"65337","354797", , , , , ,"420134"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(02100)", , ,"8944", , , , , ,"82606","91550"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(02200)", , , , , , , , ,"2388","2388"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(02400)", , , , ,"27206", , ,"175183", ,"202389"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(02500)", , ,"4472", , , ,"47751", , ,"52223"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(05000)", , ,"8944", , , , , ,"53667","62611"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(05200)", , , , , , , , ,"23852","23852"
"HOSPC","hospc_2013_DATA",33967,"A100000","Line(05300)", , , , , , , , ,"61146","61146"
"Entity[33967] Report(A200000)", , , , , ,"Entity[33967] Report(A200000[0100])","Entity[33967] Report(A200000[0200])","Entity[33967] Report(A200000[0300])","Entity[33967] Report(A200000[0400])","Entity[33967] Report(A200000[0500])","Entity[33967] Report(A200000[0600])","Entity[33967] Report(A200000[0700])","Entity[33967] Report(A200000[0800])","Entity[33967] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(00500)", , ,"1081", , , , , ,"4397","5478"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(00600)", ,"12307","8483", , , , , ,"38849","59639"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(01600)", , ,"13841", ,"22374","274480", , , ,"310695"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(01620)", , , , , ,"39", , , ,"39"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(02000)", , ,"7898","42891", , , , , ,"50789"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(02100)", , ,"1081", , , , , ,"9986","11067"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(02200)", , , , , , , , ,"289","289"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(02400)", , , , ,"3289", , ,"21178", ,"24467"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(02500)", , ,"541", , , ,"5773", , ,"6314"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(05000)", , ,"1081", , , , , ,"6488","7569"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(05200)", , , , , , , , ,"2883","2883"
"HOSPC","hospc_2013_DATA",33967,"A200000","Line(05300)", , , , , , , , ,"7392","7392"
"Entity[33967] Report(A300000)", , , , , , ,"Entity[33967] Report(A300000[0200])", , , ,"Entity[33967] Report(A300000[0600])", ,"Entity[33967] Report(A300000[0800])","Entity[33967] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(00600)", , , , , , , , ,"12386","12386"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(01000)", , , , , , , , ,"2369","2369"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(01100)", , , , , , , , ,"4988","4988"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(01500)", , ,"25000", , , , , ,"6348","31348"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(01700)", , , , , , ,"307", , ,"307"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(01800)", , , , , , ,"6005", , ,"6005"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03000)", , , , , , , , ,"540109","540109"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03030)", , , , , , , , ,"139802","139802"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03031)", , , , , , , , ,"60831","60831"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03100)", , , , , , , , ,"259222","259222"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03200)", , , , , , , , ,"4826","4826"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03300)", , , , , , , , ,"5796","5796"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03400)", , , , , , , , ,"14498","14498"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03500)", , , , , , , , ,"34159","34159"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03600)", , , , , , , , ,"47372","47372"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03700)", , , , , , , , ,"9279","9279"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03800)", , , , , , , , ,"57101","57101"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(03900)", , , , , , , , ,"26874","26874"
"HOSPC","hospc_2013_DATA",33967,"A300000","Line(05300)", , , , , , , , ,"1060348","1060348"
"Entity[33967] Report(A600010)", , , , ,"Entity[33967] Report(A600010[0000])","Entity[33967] Report(A600010[0100])","Entity[33967] Report(A600010[0200])","Entity[33967] Report(A600010[0300])", ,"Entity[33967] Report(A600010[0500])","Entity[33967] Report(A600010[0600])","Entity[33967] Report(A600010[0700])", ,"Entity[33967] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",33967,"A600010","Line(00100)","ASSOCIATION_DUES_ALLOCABLE_TO_LOBBYI","A","OTHER NONREIMBURSABLE COSTS","53", ,"825","ADMINISTRATIVE AND GENERAL","6", ,"825"
"Entity[33967] Report(A700000)", , , , , ,"Entity[33967] Report(A700000[0100])","Entity[33967] Report(A700000[0200])", ,"Entity[33967] Report(A700000[0400])", ,"Entity[33967] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33967,"A700000","Line(00100)", ,"232000", , , , ,"232000"
"HOSPC","hospc_2013_DATA",33967,"A700000","Line(00300)", ,"1881613", , , , ,"1881613"
"HOSPC","hospc_2013_DATA",33967,"A700000","Line(00500)", ,"133565", , , , ,"133565"
"HOSPC","hospc_2013_DATA",33967,"A700000","Line(00600)", ,"239089","14551", ,"14551", ,"253640"
"HOSPC","hospc_2013_DATA",33967,"A700000","Line(00700)", ,"2486267","14551", ,"14551", ,"2500818"
"Entity[33967] Report(A800000)", , , , ,"Entity[33967] Report(A800000[0000])","Entity[33967] Report(A800000[0100])","Entity[33967] Report(A800000[0200])","Entity[33967] Report(A800000[0300])","Entity[33967] Report(A800000[0400])"
