"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32494"," Report A100000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","",""
"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)"
"","","1","2","3","4","5","6","7","8","9"
"","GENERAL SERVICE COST CENTERS","","","","","","","","",""
"Entity[32494] Report(A100000)", , , ,"Entity[32494] Report(A100000[0300])","Entity[32494] Report(A100000[0400])","Entity[32494] Report(A100000[0500])", ,"Entity[32494] Report(A100000[0700])","Entity[32494] Report(A100000[0800])","Entity[32494] Report(A100000[0900])"
"Line(00500)", , , , , , , , ,"13870","13870"
"Line(00600)", , , , ,"35850", , , ,"72477","108327"
"Line(01600)", , , , , ,"117910", , , ,"117910"
"Line(02000)", , , ,"18529", , , , , ,"18529"
"Line(02100)", , , , , , , , ,"21573","21573"
"Line(02400)", , , , , , , ,"37342", ,"37342"
