"Entity[32494] Report(G000000)", , , , , ,"Entity[32494] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(00400)", ,"2609"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(00800)", ,"9467"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(01100)", ,"12076"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(02300)", ,"8840"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(02400)", ,"183"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(02700)", ,"8657"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(02900)", ,"5987"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(03200)", ,"5987"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(03300)", ,"26720"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(03400)", ,"69054"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(04000)", ,"357"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(04200)", ,"69411"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(04700)", ,"150"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(04900)", ,"150"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(05000)", ,"69561"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(05100)", ,"-42841"
"HOSPC","hospc_2013_DATA",32494,"G000000","Line(05800)", ,"-42841"
"Entity[32494] Report(G100000)", , , , , ,"Entity[32494] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",32494,"G100000","Line(00100)", ,"4337710"
"HOSPC","hospc_2013_DATA",32494,"G100000","Line(00200)", ,"157097"
"HOSPC","hospc_2013_DATA",32494,"G100000","Line(00300)", ,"4494807"
"HOSPC","hospc_2013_DATA",32494,"G100000","Line(01100)", ,"4494807"
"HOSPC","hospc_2013_DATA",32494,"G100000","Line(01200)", ,"4537648"
"HOSPC","hospc_2013_DATA",32494,"G100000","Line(01800)", ,"4537648"
"Entity[32494] Report(G200001)", , , , , ,"Entity[32494] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",32494,"G200001","Line(00300)", ,"768217"
"HOSPC","hospc_2013_DATA",32494,"G200001","Line(00500)", ,"46800"
"Entity[32494] Report(G200002)", , , , ,"Entity[32494] Report(G200002[0000])", ,"Entity[32494] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",32494,"G200002","Line(00100)", , ,"611120"
"HOSPC","hospc_2013_DATA",32494,"G200002","Line(00900)","MISC OPERATING INCOME"
"HOSPC","hospc_2013_DATA",32494,"G200002","Line(01000)","CASH DISCOUNTS"
"HOSPC","hospc_2013_DATA",32494,"G200002","Line(01100)","PALLIATIVE CARE"
"HOSPC","hospc_2013_DATA",32494,"G200002","Line(01200)","SALE OF MEDICAL RECORDS"
"HOSPC","hospc_2013_DATA",32494,"G200002","Line(01300)","ROOM & BOARD"
"HOSPC","hospc_2013_DATA",32494,"G200002","Line(01500)", , ,"611120"
