"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32494"," Report A200000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","",""
"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)"
"","","1","2","3","4","5","6","7","8","9"
"","GENERAL SERVICE COST CENTERS","","","","","","","","",""
"Entity[32494] Report(A200000)", , , ,"Entity[32494] Report(A200000[0300])","Entity[32494] Report(A200000[0400])","Entity[32494] Report(A200000[0500])", ,"Entity[32494] Report(A200000[0700])","Entity[32494] Report(A200000[0800])","Entity[32494] Report(A200000[0900])"
"Line(00500)", , , , , , , , ,"2471","2471"
"Line(00600)", , , , ,"6386", , , ,"12912","19298"
"Line(01600)", , , , , ,"21005", , , ,"21005"
"Line(02000)", , , ,"3301", , , , , ,"3301"
"Line(02100)", , , , , , , , ,"3843","3843"
"Line(02400)", , , , , , , ,"6652", ,"6652"
