"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32494"," Report G000000 ","-------------","-------------","-----------",""
"","Assets","General","Purpose","Endowment","Plant"
"","(Omit cents)","Fund","Fund","Fund","Fund"
"","","1","2","3","4"
"","CURRENT  ASSETS","","","",""
"Entity[32494] Report(G000000)", ,"Entity[32494] Report(G000000[0100])"
"Line(00400)", ,"2609"
"Line(00800)", ,"9467"
"Line(01100)", ,"12076"
"Line(02300)", ,"8840"
"Line(02400)", ,"183"
"Line(02700)", ,"8657"
"Line(02900)", ,"5987"
"Line(03200)", ,"5987"
"Line(03300)", ,"26720"
"Line(03400)", ,"69054"
"Line(04000)", ,"357"
"Line(04200)", ,"69411"
"Line(04700)", ,"150"
"Line(04900)", ,"150"
"Line(05000)", ,"69561"
"Line(05100)", ,"-42841"
"Line(05800)", ,"-42841"
