"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32675"," Report A000000 ","-------------","-------------","-----------",""
"","","","","","CON-","","","RECLAS-","","MENTS",""
"","","","EMPLOYEE","","TRACTED","","","SIFICATION","","(Increase/",""
"","","SALARIES","BENEFITS","TRANSPOR-","SERVICES","","","(Increase/","","Decrease)",""
"","COST CENTER DESCRIPTIONS","(From","(From","TATION","(From","","TOTAL","Decrease)","","(Fr Wkst A-8","TOTAL"
"","","Wkst A-1)","Wkst A-2)","(See inst.)","Wkst A-3)","OTHER","(col. 1-5)","(Fr Wkst A-6)","SUBTOTAL","& A-8-1)","(col.8�col.9)"
"","","1","2","3","4","5","6","7","8","9","10"
"","GENERAL SERVICE COST CENTERS",""," "," "," ","","","",""," ",""
"Entity[32675] Report(A000000)","Entity[32675] Report(A000000[0000])","Entity[32675] Report(A000000[0100])","Entity[32675] Report(A000000[0200])","Entity[32675] Report(A000000[0300])","Entity[32675] Report(A000000[0400])","Entity[32675] Report(A000000[0500])","Entity[32675] Report(A000000[0600])", ,"Entity[32675] Report(A000000[0800])","Entity[32675] Report(A000000[0900])","Entity[32675] Report(A000000[1000])"
"Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"46","46", ,"46", ,"46"
"Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"Line(00300)","0300PLANT OPERATION AND MAINTENANCE"
"Line(00400)","0400TRANSPORTATION-STAFF"
"Line(00500)","0500VOLUNTEER SERVICE COORDINATION"
"Line(00600)","0600ADMINISTRATIVE AND GENERAL","23888","6808","1556","1995","13271","47518", ,"47518","-2612","44906"
"Line(01000)","1000INPATIENT- GENERAL CARE"
"Line(01100)","1100INPATIENT- RESPITE CARE"
"Line(01500)","1500PHYSICIAN SERVICES", , , ,"14000", ,"14000", ,"14000", ,"14000"
"Line(01600)","1600NURSING CARE","226932","64679","9196","172961", ,"473768", ,"473768", ,"473768"
"Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"Line(01700)","1700PHYSICAL THERAPY"
"Line(01800)","1800OCCUPATIONAL THERAPY"
"Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"Line(02000)","2000MEDICAL SOCIAL SERVICES","53711","15308","4104", , ,"73123", ,"73123", ,"73123"
"Line(02100)","2100SPIRITUAL COUNSELING","14495","4131","2900", , ,"21526", ,"21526", ,"21526"
"Line(02200)","2200DIETARY COUNSELING"
"Line(02300)","2300COUNSELING-OTHER"
"Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","28816","8213","6146","3887", ,"47062", ,"47062", ,"47062"
"Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"Line(02500)","2500OTHER VISITING SERVICES"
"Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"44411","44411", ,"44411", ,"44411"
"Line(03030)","3030ANALGESICS"
"Line(03031)","3031SEDATIVES/HYPNOTICS"
"Line(03032)","3032OTHER - SPECIFY"
"Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"18175","18175", ,"18175", ,"18175"
"Line(03200)","3200PATIENT TRANSPORTATION"
"Line(03300)","3300IMAGING SERVICES"
"Line(03400)","3400LABS AND DIAGNOSTICS"
"Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"7466","7466", ,"7466", ,"7466"
"Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"Line(03700)","3700RADIATION THERAPY"
"Line(03800)","3800CHEMOTHERAPY"
"Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , , ,"75166","75166", ,"75166","-73053","2113"
"Line(05000)","5000BEREAVEMENT PROGRAM COSTS","25593","7294","858", , ,"33745", ,"33745", ,"33745"
"Line(05100)","5100VOLUNTEER PROGRAM COSTS","11000","3135","44", , ,"14179", ,"14179", ,"14179"
"Line(05200)","5200FUNDRAISING"
"Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
