"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32675"," Report B000000 ","-------------","-------------","-----------",""
"","","NET","CAPITAL","RELATED","","","VOLUNTEER","","","","","","",""
"","","EXPENSES","RELATED","COST","PLANT","","SERVICE","","A & G","","A & G","","A & G",""
"","COST CENTER DESCRIPTIONS","FOR COST","COST BLDG","MOVABLE","OPERATION","TRANS-","COORDI-","SUBTOTAL","SHARED","SUBTOTAL","REIMB.","SUBTOTAL","NON-REIMB.",""
"","","ALLOC.","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","(col. 0 - 5)","COSTS","(col. 0 - 6.01","COSTS","(col. 0 - 6.02)","COSTS","TOTAL"
"","","0","1","2","3","4","5","5A","6.01","6A.01","6.02","6A.02","6.03","7"
"","GENERAL SERVICE COST CENTERS",""," "," ","","","","","",""," ","","",""
"Entity[32675] Report(B000000)","Entity[32675] Report(B000000[0000])","Entity[32675] Report(B000000[0100])", , , , ,"Entity[32675] Report(B000000[0600])","Entity[32675] Report(B000000[0700])"
"Line(00100)","46","46"
"Line(00600)","44906","29", , , , ,"44935"
"Line(01500)","14000", , , , , ,"839","14839"
"Line(01600)","473768","8", , , , ,"28400","502176"
"Line(02000)","73123","4", , , , ,"4384","77511"
"Line(02100)","21526","3", , , , ,"1291","22820"
"Line(02400)","47062","2", , , , ,"2821","49885"
"Line(03000)","44411", , , , , ,"2662","47073"
"Line(03100)","18175", , , , , ,"1090","19265"
"Line(03500)","7466", , , , , ,"448","7914"
"Line(03900)","2113", , , , , ,"127","2240"
"Line(05000)","33745", , , , , ,"2023","35768"
"Line(05100)","14179", , , , , ,"850","15029"
