"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32675"," Report G000000 ","-------------","-------------","-----------",""
"","Assets","General","Purpose","Endowment","Plant"
"","(Omit cents)","Fund","Fund","Fund","Fund"
"","","1","2","3","4"
"","CURRENT  ASSETS","","","",""
"Entity[32675] Report(G000000)", ,"Entity[32675] Report(G000000[0100])"
"Line(00100)", ,"28882"
"Line(00400)", ,"3314721"
"Line(00600)", ,"245733"
"Line(00800)", ,"55258"
"Line(01100)", ,"3153128"
"Line(01700)", ,"119657"
"Line(01800)", ,"65061"
"Line(02300)", ,"2035074"
"Line(02400)", ,"793676"
"Line(02700)", ,"1295994"
"Line(03000)", ,"7800165"
"Line(03100)", ,"65653"
"Line(03200)", ,"7865818"
"Line(03300)", ,"12314940"
"Line(03400)", ,"19348272"
"Line(03500)", ,"1538530"
"Line(03800)", ,"663300"
"Line(04100)", ,"65000"
"Line(04200)", ,"21615102"
"Line(04800)", ,"487920"
"Line(04900)", ,"487920"
"Line(05000)", ,"22103022"
"Line(05100)", ,"-9788082"
"Line(05800)", ,"-9788082"
