"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32675"," Report B100000 ","-------------","-------------","-----------",""
"","","CAPITAL","RELATED","","","VOLUNTEER","","","","",""
"","","RELATED","COST","PLANT","","SERVICE","","ADMINIS-","A & G","A & G","A & G"
"","","COST BLDG ","MOVABLE","OPERATION","TRANS-","COORDI-","","TRATIVE  &","SHARED","REIMB.","NON-REIMB."
"","COST CENTER DESCRIPTIONS","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","RECONCI-","GENERAL","COSTS","COSTS","COSTS"
"","","(SQ. FT.)","$ VALUE)","(SQ. FT.)","(MILEAGE)","(HOURS)","LIATION","(ACC. COST)","(ACC. COST)","(ACC. COST)","(ACC. COST)"
"","","1","2","3","4","5","6A","6","6.01","6.02","6.03"
"","GENERAL SERVICE COST CENTERS"," "," ","","","","","",""," ",""
"Entity[32675] Report(B100000)", ,"Entity[32675] Report(B100000[0100])", , , , ,"Entity[32675] Report(B100000[0600])"
"Line(00000)", , , , , , ,"X"
"Line(00100)", ,"3600"
"Line(00600)", ,"2300", , , , ,"749585"
"Line(01500)", , , , , , ,"14000"
"Line(01600)", ,"600", , , , ,"473776"
"Line(02000)", ,"350", , , , ,"73127"
"Line(02100)", ,"200", , , , ,"21529"
"Line(02400)", ,"150", , , , ,"47064"
"Line(03000)", , , , , , ,"44411"
"Line(03100)", , , , , , ,"18175"
"Line(03500)", , , , , , ,"7466"
"Line(03900)", , , , , , ,"2113"
"Line(05000)", , , , , , ,"33745"
"Line(05100)", , , , , , ,"14179"
"Line(10000)", ,"46"
